state,individual_ra_premiums_ratio,smallgroup_ra_premiums_ratio
AK,26212.2329148,12012.0075944
AL,122242.96652206947,11126.237909384015
AR,48930.90756939743,9671.65396742671
AZ,339897.49951772,71988.54328877006
CA,1997279.5715193897,1725402.6244878224
CO,467549.78997007606,106102.69568309508
CT,133640.21861960465,105320.3694422151
DC,60092.93690658499,72681.0795314164
DE,7040.539313025476,3377.093699546033
FL,2859954.611427293,167235.0770003558
GA,927243.5731659371,88360.70741245615
HI,88740.22558714463,58743.123749042476
IA,92838.84626127008,32166.140533083442
ID,84687.4847791709,18361.035133518246
IL,536287.4635013709,61537.21372239747
IN,296949.2898419089,55172.37025412356
KS,270716.1528481476,21399.55121511674
KY,99323.84329767148,38611.6918333657
LA,464177.26681431924,49675.929058925314
MD,258224.26962697742,140993.92960431488
ME,28182.4358029388,25158.21381187726
MI,685828.1907879232,153606.67898458385
MN,591817.5931519602,141591.99912337828
MO,231854.617337915,48062.91103332272
MS,80999.24511585642,4542.520735573874
MT,26961.152183246202,1983.6869632889652
NC,608011.1914391234,84731.70617986732
ND,25527.78573268695,7868.448835854172
NE,123837.14127527682,25328.50278659436
NH,132693.45403964003,27210.3994121417
NJ,481102.4441039446,143392.06224097943
NM,47109.56311444416,43471.56452108185
NV,131093.35855087906,42999.58824934954
NY,817849.2629461935,946248.3848139637
OH,351737.99097789585,135404.2660118766
OK,27990.90663054407,46952.69849111052
OR,286341.10833661037,54072.544574730025
PA,796834.6164881155,209727.9373593717
RI,32439.31281112935,33009.67738377319
SC,64785.559942271466,30722.34359262541
SD,41871.55684074663,9953.0765080922
TN,215251.2458902524,36260.35813417506
TX,1690526.1128827631,209290.50859860165
UT,274384.8511596804,32739.187611490426
VA,535760.5577992309,225713.74302138528
WA,456554.0589998929,78963.40836271565
WI,308929.01069813606,91916.04727342795
WV,9360.12944285742,7253.722445513727
WY,29.598486829489396,5252.925717490523
