state,individual_ra_premiums_ratio,smallgroup_ra_premiums_ratio
AK,0.125420940961,0.0899229576223
AL,0.048930025114442895,0.004462219198475682
AR,0.012242601560522547,0.034083838838241905
AZ,0.12474837254025524,0.047294649452947084
CA,0.07842771356909407,0.07900874627816311
CO,0.14758891731833315,0.043359631248616984
CT,0.06522281018889935,0.05155463173186002
DC,0.30790516670046675,0.07507544570623625
DE,0.017126347743423753,0.009268603933780676
FL,0.1500685425820422,0.056933514683589016
GA,0.1367706767486449,0.046966907365244115
HI,0.21946331337059308,0.14513351437173422
IA,0.0945961427232965,0.034539486831202705
ID,0.06089299345887501,0.03936347771194086
IL,0.08992274323994853,0.018674635556482595
IN,0.12318598142166308,0.05443960769064669
KS,0.17449655082938678,0.02908665737838191
KY,0.07964228821792182,0.05883402178266696
LA,0.18683091220865625,0.04085169697606494
MD,0.08681572791189657,0.04652959105933196
ME,0.028954271854564964,0.04085168132497004
MI,0.14291207167926537,0.036824310531226284
MN,0.21486390990667562,0.045417928252996995
MO,0.06803671043346166,0.042326438457662624
MS,0.07478127691278041,0.022712183502474573
MT,0.030287275657515794,0.0034199736311679198
NC,0.09569867922830631,0.06415067008948155
ND,0.054080212875230065,0.021715752477323463
NE,0.09911275174153772,0.049646607741750164
NH,0.11642145642533949,0.04819584301836817
NJ,0.12136082345353441,0.03218459444245418
NM,0.05511010672630783,0.07393519299262094
NV,0.0853685585481368,0.039194599998276826
NY,0.20931805129563344,0.08260970323784875
OH,0.10806545378193225,0.09655838397155411
OK,0.01394770842638787,0.03278024027904296
OR,0.10739366772668478,0.04089901019880432
PA,0.11739850626409926,0.04458593819689395
RI,0.05934466770577408,0.04688359841138635
SC,0.025189154859572134,0.04224329953388159
SD,0.08588317291378388,0.03300088397820626
TN,0.060925266709673784,0.026453614405809657
TX,0.11404028105504911,0.03228787785875251
UT,0.11876995646588863,0.02216989591435411
VA,0.10273490179183356,0.05063772912460758
WA,0.1227267155310865,0.033420810177025154
WI,0.1058789616945621,0.0834599289973781
WV,0.018177378039311066,0.0335944752040858
WY,9.559487543121433e-05,0.06448377531254787
