State	 STATE AVERAGE MONTHLY PREMIUMS March 	STATE AVERAGE PLAN LIABILITY RISK SCORE March	STATE AVERAGE ALLOWABLE RATING FACTOR March	STATE AVERAGE ACTUARIAL VALUE March	 STATE BILLABLE MEMBER MONTHS March 	State	 STATE AVERAGE MONTHLY PREMIUMS June 	STATE AVERAGE PLAN LIABILITY RISK SCORE June	STATE AVERAGE ALLOWABLE RATING FACTOR June	STATE AVERAGE ACTUARIAL VALUE June	STATE INDUCED DEMAND FACTOR June	 STATE BILLABLE MEMBER MONTHS June 	 STATE AVERAGE MONTHLY PREMIUMS Difference 	STATE AVERAGE PLAN LIABILITY RISK SCORE Difference	STATE AVERAGE ALLOWABLE RATING FACTOR Difference	STATE AVERAGE ACTUARIAL VALUE Difference	 STATE BILLABLE MEMBER MONTHS Difference 
AK	$869.25 	1.315	1.624	0.654	"210,225.90"	AK	$871.22 	1.471	1.619	0.655	1.017	"208,994.10"	$1.97 	0.16	($0.01)	$0.00 	"($1,231.83)"
AL	$414.74 	1.955	1.599	0.699	"2,457,645.07"	AL	$408.03 	2.009	1.595	0.699	1.032	"2,498,322.20"	($6.71)	0.05	$0.00 	$0.00 	"$40,677.10 "
AR	$369.17 	2.046	1.484	0.699	"3,987,010.70"	AR	$369.25 	2.052	1.483	0.699	1.031	"3,996,773.70"	$0.08 	0.01	$0.00 	$0.00 	"$9,762.97 "
AZ	$317.24 	1.394	1.535	0.68	"2,796,435.53"	AZ	$321.39 	1.519	1.54	0.68	1.027	"2,724,664.80"	$4.15 	0.12	$0.01 	$0.00 	"($71,770.73)"
CA	$397.67 	1.315	1.571	0.699	"25,583,869.37"	CA	$393.25 	1.355	1.57	0.699	1.037	"25,466,502.60"	($4.42)	0.04	$0.00 	$0.00 	"($117,366.77)"
CO	$374.52 	1.206	1.559	0.659	"3,171,933.90"	CO	$374.28 	1.262	1.559	0.659	1.02	"3,167,919.40"	($0.25)	0.06	$0.00 	$0.00 	"($4,014.53)"
CT	$438.78 	1.505	1.666	0.696	"2,054,192.37"	CT	$438.57 	1.544	1.666	0.696	1.033	"2,048,979.80"	($0.21)	0.04	$0.00 	$0.00 	"($5,212.60)"
DC	$323.80 	1.322	1.091	0.727	"196,927.87"	DC	$326.50 	1.547	1.092	0.727	1.052	"195,167.00"	$2.70 	0.23	$0.00 	$0.00 	"($1,760.83)"
DE	$472.10 	1.628	1.615	0.707	"413,352.97"	DE	$473.38 	1.751	1.617	0.707	1.039	"411,094.00"	$1.28 	0.12	$0.00 	$0.00 	"($2,258.93)"
FL	$402.36 	1.68	1.635	0.697	"19,131,230.03"	FL	$402.37 	1.738	1.636	0.697	1.032	"19,057,655.70"	$0.01 	0.06	$0.00 	$0.00 	"($73,574.37)"
