,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2014,STATE_2014,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2014,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2014",7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,1.11FederalRiskCorridorsProgramnetpayments/(charges)2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,IndPremiumPMM_2014,IndCostsPMM_2014,IndRTPMM_2014,IndReinsPMM_2014,IndRCPMM_2014,TotalPA_2014,TotalPB_2014,TotalPC_2014,TotalPD_2014,TotalPE_2014,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2015,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2015",7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,1.11FederalRiskCorridorsProgramnetpayments/(charges)2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,IndPremiumPMM_2015,IndCostsPMM_2015,IndRTPMM_2015,IndReinsPMM_2015,IndRCPMM_2015,TotalPA_2015,TotalPB_2015,TotalPC_2015,TotalPD_2015,TotalPE_2015,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15,1.11FederalRiskCorridorsProgramnetpayments/(charges)2HealthInsuranceINDIVIDUALTotalasof3/31/15,IndPremiumPMM,IndCostsPMM,IndRTPMM,IndReinsPMM,IndRCPMM,TotalPA,TotalPB,TotalPC,TotalPD,TotalPE
0,80431.0,Freedom Life Insurance,SC,0.0,-599.88,2469.0,458787.0,378926.0,,185.81895504252734,153.47347104090724,-0.2429647630619684,0.0,,32.34548400162009,32.10251923855812,32.10251923855812,,,Freedom Life Insurance,SC,7907.84,-7622.19,2028.0,421461.0,432622.0,,207.82100591715977,213.32445759368835,-3.7584763313609466,3.8993293885601576,,-5.503451676528584,-9.26192800788953,-5.362598619329372,,,Freedom Life Insurance Company of America,SC,0.0,-520.68,1735.0,366124.0,106303.0,,211.02247838616714,61.269740634005764,-0.3001037463976945,0.0,,149.75273775216138,149.45263400576368,149.45263400576368,,
1,18167.0,Molina Healthcare of Utah,UT,96992.14,311802.19,2085.0,544533.0,907059.0,-34983.7256,261.16690647482017,435.0402877697842,149.54541486810552,46.51901199040768,-16.778765275779374,-173.87338129496402,-24.327966426858495,22.19104556354918,-41.10673170263787,5.412280287769807,Molina Healthcare of Utah,UT,1295181.45,-2854734.71,72932.0,16190660.0,18398259.0,,221.99665441781386,252.2659326495914,-39.142416360445345,17.758754044863707,,-30.269278231777548,-69.41169459222289,-51.65294054735918,,,"Molina Healthcare of Utah, Inc.",UT,4248954.73,-31798539.87,622659.0,135621047.0,141993410.0,,217.80950247246085,228.04361616872157,-51.06894764228896,6.823887119595156,,-10.23411369626072,-61.30306133854968,-54.479174218954526,,
2,36677.0,All Savers Insurance Company,MD,266389.22,272660.9,2215.0,660327.37,1553516.26,138564.0,298.1161941309255,701.3617426636569,123.09747178329572,120.26601354401805,62.557110609480816,-403.24554853273133,-280.14807674943563,-159.88206320541758,-217.59096613995482,-97.32495259593676,All Savers Insurance Company,MD,496194.53,596980.74,6662.0,2650550.76,3724009.19,,397.86111678174717,558.99267337136,89.60983788652057,74.48131642149505,,-161.13155658961279,-71.52171870309222,2.959597718402833,,,All Savers Insurance Company,MD,576817.2,1316533.03,11155.0,4610816.65,6571803.34,,413.3408023307934,589.1352164948454,118.0217866427611,51.7092962796952,,-175.794414164052,-57.7726275212909,-6.063331241595698,,
3,41895.0,Consumers Mutual Insurance of Michigan,MI,252541.02,122480.23,2011.0,765761.0,1646935.31,369324.0,380.78617603182494,818.9633565390353,60.90513674788662,125.57982098458479,183.65191447041272,-438.1771805072104,-377.27204375932376,-251.69222277473898,-193.62012928891104,-68.04030830432626,Consumers Mutual Insurance of Michigan,MI,2288287.67,-7071364.84,66465.0,26023019.0,33438912.0,,391.52966222824045,503.1055743624464,-106.39230933574062,34.428461144963514,,-111.57591213420596,-217.96822146994657,-183.53976032498306,,,,,,,,,,,,,,,,,,,,
4,83808.0,Coventry Health and Life,MS,0.0,-132911.3,4736.0,766827.0,1076537.61,,161.9144847972973,227.30946157094596,-28.064041385135134,0.0,,-65.39497677364866,-93.4590181587838,-93.4590181587838,,,Coventry Health and Life,MS,62611.94,-199659.48,2953.0,647952.86,526416.9,,219.4218963765662,178.26512021672875,-67.61242126650863,21.202824246528955,,41.15677615983745,-26.455645106671184,-5.252820860142229,,,Coventry Health and Life,MS,,,,,,,,,,,,,,,,
5,31112.0,UnitedHealthcare of the Mid-Atlantic Inc.,MD,,,2383.0,866823.51,936203.27,,363.75304657994127,392.86750734368445,,,,-29.114460763743182,,,,,United Healthcare of the MidAtlantic Inc.,MD,504920.11,-1146080.38,27649.0,8397232.7,6850854.38,,303.70836919960936,247.77946327172774,-41.45106079785887,18.26178559803248,,55.92890592788163,14.477845130022757,32.73963072805523,,,"UnitedHealthcare of the Mid-Atlantic, Inc.",MD,1196462.13,-4726063.8,117781.0,39705280.01,30622053.42,,337.11107912142023,259.9914537998489,-40.12585900951766,10.158362808942018,,77.11962532157133,36.99376631205367,47.15212912099569,,
6,53135.0,UnitedHealthcare Life Insurance Company,AR,256733.54,71131.67,2567.0,870399.72,1047720.59,,339.0727386053759,408.1498208024932,27.71003895597974,100.01306583560577,,-69.0770821971173,-41.367043241137566,58.64602259446821,,,United Healthcare Life Insurance Company,AR,506664.43,-280355.58,7917.0,2593474.69,3610832.45,,327.58300997852723,456.0859479600859,-35.41184539598333,63.99702286219527,,-128.50293798155866,-163.914783377542,-99.91776051534671,,,UnitedHealthcare Life Insurance Company,AR,314611.24,-189796.85,6740.0,2596462.56,3918316.96,,385.2318338278932,581.3526646884272,-28.15977002967359,46.678225519287835,,-196.12083086053406,-224.28060089020764,-177.6023753709198,,
7,64146.0,UnitedHealthcare Ins Co of River Valley,SC,,,2187.0,881543.74,611793.83,,403.08355738454503,279.74112025605854,,,,123.3424371284865,,,,,United Healthcare Ins Co of River Valley,SC,,,2200.0,994457.07,635770.73,,452.0259409090909,288.98669545454544,,,,163.03924545454544,,,,,UnitedHealthcare Insurance Company of the River Valley,SC,,,1475.0,675973.77,390778.15,,458.28730169491524,264.93433898305085,,,,193.3529627118644,,,,
8,67088.0,John Alden Life Insurance Company,OK,,,2907.0,904964.0,446500.0,,311.30512555899554,153.59477124183007,,,,157.71035431716547,,,,,John Alden Life Insurance Company,OK,,,2057.0,631438.0,349806.0,,306.9703451628585,170.0563928050559,,,,136.9139523578026,,,,,,,,,,,,,,,,,,,,,,
9,89728.0,John Alden Life Insurance Company,SC,,,3503.0,922158.0,608761.0,,263.24807308021695,173.78275763631174,,,,89.46531544390521,,,,,John Alden Life Insurance Company,SC,,,2384.0,643822.0,271989.0,,270.0595637583893,114.08934563758389,,,,155.97021812080538,,,,,,,,,,,,,,,,,,,,,,
