HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2014,STATE_2014,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2014,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2014",7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,1.11FederalRiskCorridorsProgramnetpayments/(charges)2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,PremiumPerMemberMonth2014,CostsPerMemberMonth2014,RiskTransfersPerMemberMonth2014,ReinsurancePerMemberMonth2014,RiskCorridorsPerMemberMonth2014,TotalPA_2014,TotalPA_2014_Quintile,TotalPB_2014,TotalPB_2014_Quintile,TotalLossPerMemberMonth2014,TotalPC_2014_Quintile,TotalPC_2014_Quintile1,TotalPC_2014_Quintile2,TotalPC_2014_Quintile3,TotalPC_2014_Quintile4,TotalPC_2014_Quintile5,TotalPD_2014,TotalPD_2014_Quintile,TotalPE_2014,TotalPE_2014_Quintile,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2015,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2015",7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,1.11FederalRiskCorridorsProgramnetpayments/(charges)2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,PremiumPerMemberMonth2015,CostsPerMemberMonth2015,RiskTransfersPerMemberMonth2015,ReinsurancePerMemberMonth2015,RiskCorridorsPerMemberMonth2015,TotalPA_2015,TotalPA_2015_Quintile,TotalPB_2015,TotalPB_2015_Quintile,TotalLossPerMemberMonth2015,TotalPC_2015_Quintile,TotalPC_2015_Quintile1,TotalPC_2015_Quintile2,TotalPC_2015_Quintile3,TotalPC_2015_Quintile4,TotalPC_2015_Quintile5,TotalPD_2015,TotalPD_2015_Quintile,TotalPE_2015,TotalPE_2015_Quintile,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",Transfers16,ChangeTransfers1614,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15,LogMM16,LogChangeMM1614,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15,1.11FederalRiskCorridorsProgramnetpayments/(charges)2HealthInsuranceINDIVIDUALTotalasof3/31/15,PremiumPerMemberMonth2016,CostsPerMemberMonth2016,RiskTransfersPerMemberMonth2016,ReinsurancePerMemberMonth2016,RiskCorridorsPerMemberMonth2016,TotalPA,TotalPB,TotalPC,TotalPD,TotalPE,ExitedMarketIn2016,TotalPC_2015_Quintile
47579,Chinese Community Health Plan,CA,1824095.22,-16711278.79,141014,60268718.32,29949706.93,,427.3952822,212.3881808,-118.507941,12.93556115,,215.0071014,4,96.49916037,4,109.4347215,4,0,0,0,0,1,,2,,0,Chinese Community Health Plan,CA,2569834.4,-28712244.96,155023,70273738.3,24778424.54,,453.3116912,159.8370857,-185.2128069,16.57711694,,293.4746054,4,108.2617986,4,124.8389155,4,0,0,0,0,1,,2,,0,Chinese Community Health Plan,CA,2031826.13,-24844080.41,-160.3257641,-41.81782315,154960,5.190219608,0.040957376,70383906.83,35832049.9,523908.2445,454.2069362,231.2341888,-160.3257641,13.1119394,3.380925687,222.9727474,62.64698322,75.75892263,66.02790891,79.13984831,0,4
75091,"ConnectiCare, Inc. **",CT,9490.2,-115248.13,6108,2748338,2504000,,449.9571054,409.9541585,-18.86839064,1.553732809,,40.00294695,3,21.13455632,3,22.68828913,2,0,0,1,0,0,,2,,0,"ConnectiCare, Inc.",CT,26569.95,-1899004.88,11204,4087279.69,2760050.122,,364.805399,246.3450662,-169.4934738,2.371470011,,118.4603327,4,-51.03314102,1,-48.66167101,1,0,1,0,0,0,,2,,0,"ConnectiCare, Inc.",CT,49691.37,-1145321.71,-147.7643801,-128.8959894,7751,3.889357737,0.103458709,2880064.18,2328469.831,,371.5732396,300.4089577,-147.7643801,6.410962456,,71.1642819,-76.60009818,-70.18913572,,,0,0
11177,MetroPlus Health Plan,NY,4200475.38,-54033594.1,399516,144984418,77121222.22,8754733.058,362.9001542,193.0366299,-135.2476349,10.51391028,21.9133478,169.8635243,4,34.61588943,3,45.12979971,2,0,0,1,0,0,56.52923722,4,67.0431475,3,MetroPlus Health Plan,NY,5191276.87,-30578616.79,286497,115991995.6,82911394.42,,404.8628628,289.3970772,-106.7327644,18.11982977,,115.4657856,4,8.733021253,3,26.85285102,2,0,0,1,0,0,,2,,0,Metro Plus Health Plan,NY,1351405.68,-30691628.34,-137.3946466,-2.147011705,223383,5.349050119,-0.252484058,83008935.81,59814247.47,,371.5991629,267.7654408,-137.3946466,6.049724822,,103.8337221,-33.56092451,-27.51119969,,,0,2
18126,MOLINA HEALTHCARE OF CALIFORNIA,CA,950343.48,-9072047.23,71865,20990525,8163374,,292.0827246,113.5931817,-126.237351,13.22401002,,178.4895429,4,52.25219189,4,65.47620191,3,0,0,0,1,0,,2,,0,Molina Healthcare of California,CA,1230390.91,-25983024.62,199582,60304876,28198872,,302.1558858,141.2896554,-130.1872144,6.164839064,,160.8662304,4,30.67901604,4,36.84385511,3,0,0,0,1,0,,2,,0,Molina Healthcare of California,CA,3087612.7,-106521339.3,-134.336014,-8.098663003,792947,5.89924416,1.04272673,247229762,108535836,,311.7859857,136.8765327,-134.336014,3.893844986,,174.909453,40.57343896,44.46728394,,,0,3
71837,"Sendero Health Plans, inc.",TX,832608.73,-1992571.72,36372,11017658,9210273.545,710781.2256,302.9159243,253.2242809,-54.78312218,22.89147504,19.54198905,49.69164343,4,-5.091478747,2,17.79999629,1,0,1,0,0,0,14.4505103,3,37.34198533,2,"Sendero Health Plans, Inc.",TX,1494250.38,-4376813.02,72061,20742943,16440299.79,,287.8525555,228.1442082,-60.73761147,20.73590958,,59.70834723,4,-1.029264234,3,19.70664534,2,0,0,1,0,0,,2,,0,"Sendero Health Plans, Inc.",TX,1208911.99,-30547269.78,-126.7784593,-71.99533717,240950,5.381926931,0.821159748,62410719.39,35066545.2,101897.94,259.0193791,145.5345308,-126.7784593,5.017273252,0.422900768,113.4848483,-13.29361108,-8.276337829,-12.87071031,-7.853437062,0,2
81941,Aetna Health Inc. (a LA corp.),LA,1125984.52,-2764603.7,149620,27002700,25513962.18,,180.4752038,170.5250781,-18.477501,7.525628392,,9.950125785,3,-8.527375217,2,-1.001746825,1,0,1,0,0,0,,2,,0,"Coventry Health Care of Louisiana, Inc.",LA,1301311.45,-9447131.62,78262,19409194.68,12798652.92,,248.0027942,163.5359807,-120.7116049,16.62762835,,84.46681352,4,-36.24479134,2,-19.61716299,1,0,1,0,0,0,,2,,0,Aetna Health Inc. (a LA corp.),LA,664684.81,-6121430.71,-119.3517267,-100.8742257,51289,4.710024232,-0.464965419,17194438.38,9795494.66,,335.2461226,190.9862672,-119.3517267,12.95959777,,144.2598553,24.90812864,37.86772641,,,0,1
99248,Cigna Health and Life Insurance Company,TN,1040048.02,1134427.73,9483,3131695,5082545,-31703.924,330.2430665,535.96383,119.6275156,109.6749995,-3.343237794,-205.7207635,0,-86.09324792,1,23.58175156,2,0,0,1,0,0,-89.43648571,0,20.23851376,1,Cigna Health and Life Insurance Company,TN,962071.92,1397613.95,15616,5229779,7147753,,334.8987577,457.7198386,89.49884413,61.60808914,,-122.8210809,0,-33.32223681,2,28.28585233,3,0,0,0,1,0,,2,,0,Cigna Health and Life Insurance Company,TN,2323303.71,-24919104.44,-117.523543,-237.1510586,212035,5.326407555,1.349461804,70770129,57016568,,333.7662603,268.9016813,-117.523543,10.9571708,,64.86457896,-52.65896404,-41.70179324,,,0,3
25303,"New York State Catholic Health Plan, Inc.",NY,13745380.71,-37511467.39,482840,167711724.3,111950287.6,-3499761.141,347.3443052,231.8579397,-77.68922912,28.46777547,-7.248283367,115.4863655,4,37.79713634,4,66.26491181,3,0,0,0,1,0,30.54885297,4,59.01662845,3,"New York State Catholic Health Plan, Inc.",NY,13867355.91,-56655138.64,786748,279998282.6,199535627.3,,355.8932245,253.620762,-72.01179875,17.62617243,,102.2724625,4,30.26066372,4,47.88683615,3,0,0,0,1,0,,2,,0,"New York State Catholic Health Plan, Inc.",NY,7460063.12,-72347372.76,-107.5426362,-29.85340711,672732,5.827842086,0.144038845,250931437,176484919.6,,373.003569,262.3406046,-107.5426362,11.08920509,,110.6629644,3.120328214,14.20953331,,,0,3
47342,Health Tradition Health Plan,WI,4487321.8,-626288.42,37196,17100722,20523312,,459.746263,551.7612647,-16.8375207,120.6399021,,-92.01500161,1,-108.8525223,0,11.78737983,1,0,1,0,0,0,,2,,0,Health Tradition Health Plan,WI,5973322.11,-4413566.24,69211,33123546,29973645.85,,478.5878834,433.0763296,-63.76972215,86.30596451,,45.5115538,4,-18.25816835,2,68.04779616,4,0,0,0,0,1,,2,,0,Health Tradition Health Plan,WI,4888872.45,-12163004.94,-105.1335449,-88.29602417,115691,5.063299575,0.492803336,54044384,38787697,733565,467.1442377,335.2697876,-105.1335449,42.25801877,6.340726591,131.87445,26.74090517,68.99892394,33.08163176,75.33965053,0,4
54172,"Molina Healthcare of Florida, Inc.",FL,413077.75,664162.18,6429,2382576,3070584,,370.5982268,477.614559,103.3072297,64.25225541,,-107.0163322,1,-3.709102504,2,60.5431529,3,0,0,0,1,0,,2,,0,"Molina Healthcare of Florida, Inc.",FL,19021408.95,-218903904.1,1722261,586687204,333655952.1,,340.6494161,193.731352,-127.1026308,11.04444039,,146.918064,4,19.8154332,3,30.85987359,3,0,0,0,1,0,,2,,0,"Molina Healthcare of Florida, Inc.",FL,25476629.62,-252569063.1,-97.54070124,-200.847931,2589371,6.41319428,2.605050854,868088165,664080390,,335.2505937,256.4639791,-97.54070124,9.838925986,,78.78661459,-18.75408665,-8.915160663,,,0,3
