,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2014,STATE_2014,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2014,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2014",Not-For-Profit:_2014,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2014,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,IndPremiumPMM_2014,IndCostsPMM_2014,IndRTPMM_2014,IndPremiumMinusCostsPMM_2014,IndPremiumPlusTransferMinusCostsPMM_2014,TotalLossPMM,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2015,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2015",Not-For-Profit:_2015,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2015,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,IndPremiumPMM_2015,IndCostsPMM_2015,IndRTPMM_2015,IndPremiumMinusCostsPMM_2015,IndPremiumPlusTransferMinusCostsPMM_2015
151,80431,Freedom Life Insurance,SC,0,-599.88,No,,2469,,458787,378926,185.818955,153.473471,-0.242964763,32.345484,32.10251924,32.10251924,Freedom Life Insurance,SC,7907.84,-7622.19,No,,2028,,421461,432622,207.8210059,213.3244576,-3.758476331,-5.503451677,-9.261928008
160,18167,Molina Healthcare of Utah,UT,96992.14,311802.19,No,,2085,,544533,907059,261.1669065,435.0402878,149.5454149,-173.8733813,-24.32796643,22.19104556,Molina Healthcare of Utah,UT,1295181.45,-2854734.71,No,,72932,,16190660,18398259,221.9966544,252.2659326,-39.14241636,-30.26927823,-69.41169459
167,36677,All Savers Insurance Company,MD,266389.22,272660.9,No,,2215,,660327.37,1553516.26,298.1161941,701.3617427,123.0974718,-403.2455485,-280.1480767,-159.8820632,All Savers Insurance Company,MD,496194.53,596980.74,No,,6662,,2650550.76,3724009.19,397.8611168,558.9926734,89.60983789,-161.1315566,-71.5217187
174,41895,Consumers Mutual Insurance of Michigan,MI,252541.02,122480.23,No,-1252756.84,2011,19992,765761,1646935.31,380.786176,818.9633565,60.90513675,-438.1771805,-377.2720438,-251.6922228,Consumers Mutual Insurance of Michigan,MI,2288287.67,-7071364.84,Yes,-1699990.62,66465,77527,26023019,33438912,391.5296622,503.1055744,-106.3923093,-111.5759121,-217.9682215
175,83808,Coventry Health and Life,MS,0,-132911.3,No,16718.65,4736,2186,766827,1076537.61,161.9144848,227.3094616,-28.06404139,-65.39497677,-93.45901816,-93.45901816,Coventry Health and Life,MS,62611.94,-199659.48,No,-154417.17,2953,154,647952.86,526416.9,219.4218964,178.2651202,-67.61242127,41.15677616,-26.45564511
183,31112,UnitedHealthcare of the Mid-Atlantic Inc.,MD,,,No,-332036,2383,75098,866823.51,936203.27,363.7530466,392.8675073,,-29.11446076,,0,United Healthcare of the MidAtlantic Inc.,MD,504920.11,-1146080.38,No,-1678830.01,27649,36198,8397232.7,6850854.38,303.7083692,247.7794633,-41.4510608,55.92890593,14.47784513
185,53135,UnitedHealthcare Life Insurance Company,AR,256733.54,71131.67,No,,2567,,870399.72,1047720.59,339.0727386,408.1498208,27.71003896,-69.0770822,-41.36704324,58.64602259,United Healthcare Life Insurance Company,AR,506664.43,-280355.58,No,,7917,,2593474.69,3610832.45,327.58301,456.085948,-35.4118454,-128.502938,-163.9147834
186,64146,UnitedHealthcare Ins Co of River Valley,SC,,,No,448146.55,2187,101664,881543.74,611793.83,403.0835574,279.7411203,,123.3424371,,0,United Healthcare Ins Co of River Valley,SC,,,No,16395.03,2200,84509,994457.07,635770.73,452.0259409,288.9866955,,163.0392455,
188,67088,John Alden Life Insurance Company,OK,,,No,-198017.77,2907,3822,904964,446500,311.3051256,153.5947712,,157.7103543,,0,John Alden Life Insurance Company,OK,,,No,-178744.41,2057,2130,631438,349806,306.9703452,170.0563928,,136.9139524,
190,89728,John Alden Life Insurance Company,SC,,,No,92798.49,3503,2255,922158,608761,263.2480731,173.7827576,,89.46531544,,0,John Alden Life Insurance Company,SC,,,No,35428.72,2384,917,643822,271989,270.0595638,114.0893456,,155.9702181,
192,82506,Freedom Life Insurance,IL,57607.05,59844.74,No,,4321,,968052,1273399,224.0342513,294.7000694,13.84974312,-70.6658181,-56.81607498,-43.48419579,Freedom Life Insurance,IL,38014.98,26867.72,No,,3229,,740957,602404,229.4694952,186.5605451,8.320755652,42.90895014,51.22970579
193,84600,Aetna Life Insurance Company,KS,,,No,-266018.93,4206,3739,973126.74,433125.62,231.3663195,102.9780361,,128.3882834,,0,Aetna Life Insurance Company,KS,,,No,745826.49,2813,6579,690716.26,398728.39,245.5443512,141.7448951,,103.7994561,
196,79881,"UnitedHealthcare of New England, Inc.",RI,,,No,-1100658.25,2469,24434,1004880.32,744221.72,406.9989145,301.4263751,,105.5725395,,0,"United Healthcare of New England, Inc.",RI,205106.29,-1072057.02,No,-4145329.17,14930,52255,6471172.88,3626616.76,433.4342184,242.9080214,-71.80556062,190.5261969,118.7206363
