,Unnamed: 0,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2014,STATE_2014,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2014,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2014",Not-For-Profit:_2014,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2014,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,IndPremiumPMM_2014,IndCostsPMM_2014,IndRTPMM_2014,IndPremiumMinusCostsPMM_2014,IndPremiumPlusTransferMinusCostsPMM_2014,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2015,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2015",Not-For-Profit:_2015,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2015,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,IndPremiumPMM_2015,IndCostsPMM_2015,IndRTPMM_2015,IndPremiumMinusCostsPMM_2015,IndPremiumPlusTransferMinusCostsPMM_2015,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",Not-For-Profit:,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET),7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15,IndPremiumPMM,IndCostsPMM,IndRTPMM,IndPremiumMinusCostsPMM,IndPremiumPlusTransferMinusCostsPMM,Transfers16Minus14
16,279,60612,"Kaiser Foundation Health Plan, Inc.",HI,4687278.77,-10430372.26,Yes,-4366914.44,185604,321645,47878943,49630666,257.9628833,267.4008427,-56.19691526,-9.437959311,-65.63487457,"Kaiser Foundation Health Plan, Inc.",HI,5420682.06,-15467100.5,Yes,-6719908.37,226746,325505,61802512,67622713,272.5627442,298.2311176,-68.21333342,-25.66837342,-93.88170684,"Kaiser Foundation Health Plan, Inc.",HI,2908866.08,-16511893.77,Yes,-7404335.42,192607,337455,67825946,69226372,352.1468379,359.4177366,-85.72841989,-7.270898773,-92.99931866,-29.53150463
33,137,94506,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",DC,316474.04,-751505.85,Yes,-1598160.33,22353,47595,8802394,8736406,393.7902742,390.8381873,-33.61991008,2.952086968,-30.66782311,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",DC,493299.21,-1625923.79,Yes,-2940128.99,28987,47724,8721639,9746356,300.8810501,336.2319661,-56.09148204,-35.35091593,-91.44239797,"Kaiser Foundation Health Plan of the MidAtlantic States, Inc.",DC,152397.44,-1825261.64,Yes,-1659851.69,28489,46433,9015097,9548927,316.4413282,335.1794377,-64.06899645,-18.73810945,-82.8071059,-30.44908637
35,252,90296,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",MD,1405157.3,-2210325.79,Yes,773138.57,92214,92283,33642176,29825663,364.8272063,323.4396404,-23.96952513,41.38756588,17.41804075,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",MD,4152560.34,-17702319.36,Yes,2987261.26,287296,90959,87409483,83733862,304.2488688,291.455022,-61.61700601,12.79384676,-48.82315925,"Kaiser Foundation Health Plan of the MidAtlantic States, Inc.",MD,3816924.66,-29417473.49,Yes,2554219.07,463323,91151,144825293,145144714,312.579546,313.2689592,-63.492366,-0.689413217,-64.18177921,-39.52284087
36,338,95185,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",VA,6291295.43,-11219947.68,Yes,-728218.07,250366,106010,90029954,78063723,359.5933713,311.7984191,-44.81418276,47.79495219,2.980769434,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",VA,10975922.03,-39306435.97,Yes,-1753706.42,591522,107302,204436285,184696053,345.6106197,312.2386877,-66.44966032,33.37193207,-33.07772825,"Kaiser Foundation Health Plan of the MidAtlantic States, Inc.",VA,6499213.85,-48146445.67,Yes,-3171646.65,760579,109760,243102908,229023660,319.6287407,301.117517,-63.30236,18.51122369,-44.79113632,-18.48817724
46,76,89364,Sanford Health Plan,ND,300927.77,128336.66,Yes,871040.84,12835,27498,3365375,2795365.75,262.2029607,217.7924231,9.998960654,44.41053759,54.40949825,Sanford Health Plan,ND,935693.69,-728919.89,Yes,-429914.25,28955,59864,9384377,9045705.67,324.102124,312.4056526,-25.17423208,11.69647142,-13.47776066,Sanford Health Plan,ND,824355.88,-3640352.33,Yes,-1552877.7,66684,61234,22471555,21669276.86,336.9857087,324.9546647,-54.59109127,12.03104403,-42.56004724,-64.59005192
50,372,80473,Group Health Cooperative,WA,25307015.16,890216.02,Yes,-1709657.09,428008,168274,148391467.6,123818071.4,346.702556,289.2891521,2.079905095,57.41340396,59.49330905,Group Health Cooperative,WA,15413893.81,-9944277,Yes,-3747729.11,445529,162864,155309681.9,138406445.2,348.5961226,310.6564224,-22.32015649,37.93970022,15.61954373,Group Health Cooperative,WA,9278483.81,-30666000.99,Yes,-5999091.94,594218,195093,201069020.1,181304314.1,338.3758488,305.1141401,-51.60732423,33.26170867,-18.34561557,-53.68722933
61,401,21032,Kaiser Foundation Health Plan of Colo.,CO,26956984.91,-33664830.89,Yes,-3582183.17,819397,664202,253676763,219954806,309.5895677,268.4349662,-41.08488424,41.15460149,0.069717255,Kaiser Foundation Health Plan of Colo.,CO,20539222.46,-7630792.84,Yes,951160.48,829731,627193,231648599,261842374,279.1851805,315.5750165,-9.196706933,-36.38983598,-45.58654292,Kaiser Foundation Health Plan of Colorado,CO,16419013.45,-59023683.88,Yes,-3316114.09,1287943,643960,402547882,378221551,312.5510073,293.6632685,-45.82786962,18.88773882,-26.9401308,-4.74298538
65,221,23371,Kaiser Foundation Healthplan of the NW,WA,2684599.56,2144483.77,Yes,294987.75,61981,105858,24686911,20741164,398.2980429,334.6374534,34.59905084,63.66058954,98.25964037,Kaiser Foundation Healthplan of the NW,WA,2087506.13,1500350.01,Yes,465626.66,61548,91245,25264201,23545272,410.4796419,382.5513745,24.37690924,27.92826737,52.30517661,Kaiser Foundation Health Plan of the Northwest,WA,1194007.04,-5128307.73,Yes,773316.38,124731,87527,43127168,40676281,345.7614226,326.1120411,-41.11494119,19.64938147,-21.46555972,-75.71399203
66,185,93689,Western Health Advantage,CA,5847162.74,2576272.04,Yes,884571.67,40958,344213,17648512.71,23285629.43,430.892932,568.5245722,62.90033791,-137.6316402,-74.73130231,Western Health Advantage,CA,6089256.83,-1713529.97,Yes,3553914.02,82544,352835,36465371.67,35046006.27,441.768895,424.5736367,-20.75898878,17.19525829,-3.563730495,Western Health Advantage,CA,3454688.21,-4446832.83,Yes,2191329,114249,386159,52425442,47458058.03,458.8700295,415.3914523,-38.92229105,43.47857723,4.556286182,-101.822629
67,419,98185,Blue Care Network of Michigan,MI,54508071.26,-47134095.64,Yes,-5484016.17,1191387,944667,355726508,341579271,298.5818277,286.7072337,-39.56237196,11.87459407,-27.68777789,Blue Care Network of Michigan,MI,46831049.28,-40004463.16,Yes,2178690.19,1596397,859012,519788391,452587896.8,325.600957,283.5058552,-25.05921971,42.09510178,17.03588208,Blue Care Network of Michigan,MI,19430303.42,-58286413.44,Yes,-19902786.04,1508670,849304,525672869.2,443706331.6,348.4346273,294.1042982,-38.63430269,54.3303291,15.69602641,0.92806927
