,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2014,STATE_2014,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2014,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2014",Not-For-Profit:_2014,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,IndPremiumPMM_2014,IndCostsPMM_2014,IndRTPMM_2014,IndReinsPMM_2014,IndLossAPMM_2014,IndLossBPMM_2014,IndLossCPMM_2014,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2015,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2015",Not-For-Profit:_2015,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,IndPremiumPMM_2015,IndCostsPMM_2015,IndRTPMM_2015,IndReinsPMM_2015,IndLossAPMM_2015,IndLossBPMM_2015,IndLossCPMM_2015,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",Not-For-Profit:,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15,IndPremiumPMM,IndCostsPMM,IndRTPMM,IndReinsPMM,IndLossAPMM,IndLossBPMM,IndLossCPMM
300,47579,Chinese Community Health Plan,CA,1824095.22,-16711278.79,No,141014,60268718.32,29949706.93,427.3952822,212.3881808,-118.507941,12.93556115,215.0071014,96.49916037,109.4347215,Chinese Community Health Plan,CA,2569834.4,-28712244.96,No,155023,70273738.3,24778424.54,453.3116912,159.8370857,-185.2128069,16.57711694,293.4746054,108.2617986,124.8389155,Chinese Community Health Plan,CA,2031826.13,-24844080.41,No,154960,70383906.83,35832049.9,454.2069362,231.2341888,-160.3257641,13.1119394,222.9727474,62.64698322,75.75892263
60,75091,"ConnectiCare, Inc. **",CT,9490.2,-115248.13,No,6108,2748338,2504000,449.9571054,409.9541585,-18.86839064,1.553732809,40.00294695,21.13455632,22.68828913,"ConnectiCare, Inc.",CT,26569.95,-1899004.88,No,11204,4087279.69,2760050.122,364.805399,246.3450662,-169.4934738,2.371470011,118.4603327,-51.03314102,-48.66167101,"ConnectiCare, Inc.",CT,49691.37,-1145321.71,No,7751,2880064.18,2328469.831,371.5732396,300.4089577,-147.7643801,6.410962456,71.1642819,-76.60009818,-70.18913572
368,11177,MetroPlus Health Plan,NY,4200475.38,-54033594.1,No,399516,144984418,77121222.22,362.9001542,193.0366299,-135.2476349,10.51391028,169.8635243,34.61588943,45.12979971,MetroPlus Health Plan,NY,5191276.87,-30578616.79,No,286497,115991995.6,82911394.42,404.8628628,289.3970772,-106.7327644,18.11982977,115.4657856,8.733021253,26.85285102,Metro Plus Health Plan,NY,1351405.68,-30691628.34,Yes,223383,83008935.81,59814247.47,371.5991629,267.7654408,-137.3946466,6.049724822,103.8337221,-33.56092451,-27.51119969
205,18126,MOLINA HEALTHCARE OF CALIFORNIA,CA,950343.48,-9072047.23,No,71865,20990525,8163374,292.0827246,113.5931817,-126.237351,13.22401002,178.4895429,52.25219189,65.47620191,Molina Healthcare of California,CA,1230390.91,-25983024.62,No,199582,60304876,28198872,302.1558858,141.2896554,-130.1872144,6.164839064,160.8662304,30.67901604,36.84385511,Molina Healthcare of California,CA,3087612.7,-106521339.3,No,792947,247229762,108535836,311.7859857,136.8765327,-134.336014,3.893844986,174.909453,40.57343896,44.46728394
154,71837,"Sendero Health Plans, inc.",TX,832608.73,-1992571.72,Yes,36372,11017658,9210273.545,302.9159243,253.2242809,-54.78312218,22.89147504,49.69164343,-5.091478747,17.79999629,"Sendero Health Plans, Inc.",TX,1494250.38,-4376813.02,Yes,72061,20742943,16440299.79,287.8525555,228.1442082,-60.73761147,20.73590958,59.70834723,-1.029264234,19.70664534,"Sendero Health Plans, Inc.",TX,1208911.99,-30547269.78,Yes,240950,62410719.39,35066545.2,259.0193791,145.5345308,-126.7784593,5.017273252,113.4848483,-13.29361108,-8.276337829
229,81941,Aetna Health Inc. (a LA corp.),LA,1125984.52,-2764603.7,No,149620,27002700,25513962.18,180.4752038,170.5250781,-18.477501,7.525628392,9.950125785,-8.527375217,-1.001746825,"Coventry Health Care of Louisiana, Inc.",LA,1301311.45,-9447131.62,No,78262,19409194.68,12798652.92,248.0027942,163.5359807,-120.7116049,16.62762835,84.46681352,-36.24479134,-19.61716299,Aetna Health Inc. (a LA corp.),LA,664684.81,-6121430.71,No,51289,17194438.38,9795494.66,335.2461226,190.9862672,-119.3517267,12.95959777,144.2598553,24.90812864,37.86772641
73,99248,Cigna Health and Life Insurance Company,TN,1040048.02,1134427.73,No,9483,3131695,5082545,330.2430665,535.96383,119.6275156,109.6749995,-205.7207635,-86.09324792,23.58175156,Cigna Health and Life Insurance Company,TN,962071.92,1397613.95,No,15616,5229779,7147753,334.8987577,457.7198386,89.49884413,61.60808914,-122.8210809,-33.32223681,28.28585233,Cigna Health and Life Insurance Company,TN,2323303.71,-24919104.44,No,212035,70770129,57016568,333.7662603,268.9016813,-117.523543,10.9571708,64.86457896,-52.65896404,-41.70179324
384,25303,"New York State Catholic Health Plan, Inc.",NY,13745380.71,-37511467.39,Yes,482840,167711724.3,111950287.6,347.3443052,231.8579397,-77.68922912,28.46777547,115.4863655,37.79713634,66.26491181,"New York State Catholic Health Plan, Inc.",NY,13867355.91,-56655138.64,Yes,786748,279998282.6,199535627.3,355.8932245,253.620762,-72.01179875,17.62617243,102.2724625,30.26066372,47.88683615,"New York State Catholic Health Plan, Inc.",NY,7460063.12,-72347372.76,Yes,672732,250931437,176484919.6,373.003569,262.3406046,-107.5426362,11.08920509,110.6629644,3.120328214,14.20953331
182,47342,Health Tradition Health Plan,WI,4487321.8,-626288.42,No,37196,17100722,20523312,459.746263,551.7612647,-16.8375207,120.6399021,-92.01500161,-108.8525223,11.78737983,Health Tradition Health Plan,WI,5973322.11,-4413566.24,No,69211,33123546,29973645.85,478.5878834,433.0763296,-63.76972215,86.30596451,45.5115538,-18.25816835,68.04779616,Health Tradition Health Plan,WI,4888872.45,-12163004.94,No,115691,54044384,38787697,467.1442377,335.2697876,-105.1335449,42.25801877,131.87445,26.74090517,68.99892394
51,54172,"Molina Healthcare of Florida, Inc.",FL,413077.75,664162.18,No,6429,2382576,3070584,370.5982268,477.614559,103.3072297,64.25225541,-107.0163322,-3.709102504,60.5431529,"Molina Healthcare of Florida, Inc.",FL,19021408.95,-218903904.1,No,1722261,586687204,333655952.1,340.6494161,193.731352,-127.1026308,11.04444039,146.918064,19.8154332,30.85987359,"Molina Healthcare of Florida, Inc.",FL,25476629.62,-252569063.1,No,2589371,868088165,664080390,335.2505937,256.4639791,-97.54070124,9.838925986,78.78661459,-18.75408665,-8.915160663
