,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2014,STATE_2014,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2014,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2014",Not-For-Profit:_2014,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2014,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,1.1Directpremiumwritten7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,2.16Totalincurredclaims7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,IndPremiumPMM_2014,IndCostsPMM_2014,IndRTPMM_2014,IndLossAPMM_2014,IndLossBPMM_2014,SGPremiumPMM_2014,SGCostsPMM_2014,SGRTPMM_2014,SGLossAPMM_2014,SGLossBPMM_2014,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2015,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2015",Not-For-Profit:_2015,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2015,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,1.1Directpremiumwritten7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,2.16Totalincurredclaims7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,IndPremiumPMM_2015,IndCostsPMM_2015,IndRTPMM_2015,IndLossAPMM_2015,IndLossBPMM_2015,SGPremiumPMM_2015,SGCostsPMM_2015,SGRTPMM_2015,SGLossAPMM_2015,SGLossBPMM_2015,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",Not-For-Profit:,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET),7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15,1.1Directpremiumwritten7HealthInsuranceSMALLGROUPTotalasof3/31/15,2.16Totalincurredclaims7HealthInsuranceSMALLGROUPTotalasof3/31/15,IndPremiumPMM,IndCostsPMM,IndRTPMM,IndLossAPMM,IndLossBPMM,SGPremiumPMM,SGCostsPMM,SGRTPMM,SGLossAPMM,SGLossBPMM
0,41895,Consumers Mutual Insurance of Michigan,MI,252541.02,122480.23,No,-1252756.84,2011,19992,765761,1646935.31,6447026,7316677.15,380.786176,818.9633565,60.90513675,-438.1771805,-377.2720438,322.4802921,365.9802496,-62.66290716,-43.49995748,-106.1628646,Consumers Mutual Insurance of Michigan,MI,2288287.67,-7071364.84,Yes,-1699990.62,66465,77527,26023019,33438912,28625189,35297677,391.5296622,503.1055744,-106.3923093,-111.5759121,-217.9682215,369.2286429,455.2952778,-21.9277235,-86.06663485,-107.9943584,,,,,,,,,,,,,,,,,,,,,,
1,31112,UnitedHealthcare of the Mid-Atlantic Inc.,MD,,,No,-332036,2383,75098,866823.51,936203.27,28051794.96,19338886.12,363.7530466,392.8675073,,-29.11446076,,373.535846,257.5153282,-4.421369411,116.0205177,111.5991483,United Healthcare of the MidAtlantic Inc.,MD,504920.11,-1146080.38,No,-1678830.01,27649,36198,8397232.7,6850854.38,15592462.38,8437895.47,303.7083692,247.7794633,-41.4510608,55.92890593,14.47784513,430.7548036,233.1039138,-46.37908199,197.6508898,151.2718078,"UnitedHealthcare of the Mid-Atlantic, Inc.",MD,1196462.13,-4726063.8,No,-2228250.33,117781,42839,39705280.01,30622053.42,16718877.55,9588714.86,337.1110791,259.9914538,-40.12585901,77.11962532,36.99376631,390.2723581,223.8314354,-52.01452718,166.4409228,114.4263956
2,64146,UnitedHealthcare Ins Co of River Valley,SC,,,No,448146.55,2187,101664,881543.74,611793.83,36984171.84,30890771.13,403.0835574,279.7411203,,123.3424371,,363.7882814,303.8516203,4.408114475,59.93666106,64.34477554,United Healthcare Ins Co of River Valley,SC,,,No,16395.03,2200,84509,994457.07,635770.73,33250378.44,27886995.64,452.0259409,288.9866955,,163.0392455,,393.4536965,329.9884703,0.194003361,63.46522619,63.65922955,UnitedHealthcare Insurance Company of the River Valley,SC,,,No,775157.13,1475,71031,675973.77,390778.15,30006914.33,23911856.03,458.2873017,264.934339,,193.3529627,,422.448147,336.6397211,10.91294125,85.8084259,96.72136715
3,67088,John Alden Life Insurance Company,OK,,,No,-198017.77,2907,3822,904964,446500,1712014,1017538,311.3051256,153.5947712,,157.7103543,,447.9366824,266.2318158,-51.80998692,181.7048666,129.8948796,John Alden Life Insurance Company,OK,,,No,-178744.41,2057,2130,631438,349806,980271,642303,306.9703452,170.0563928,,136.9139524,,460.2211268,301.5507042,-83.91756338,158.6704225,74.75285915,,,,,,,,,,,,,,,,,,,,,,
4,84600,Aetna Life Insurance Company,KS,,,No,-266018.93,4206,3739,973126.74,433125.62,1496577.65,687949.52,231.3663195,102.9780361,,128.3882834,,400.2614737,183.9929179,-71.14707943,216.2685558,145.1214763,Aetna Life Insurance Company,KS,,,No,745826.49,2813,6579,690716.26,398728.39,2806407.65,1777184.97,245.5443512,141.7448951,,103.7994561,,426.5705502,270.1299544,113.3647196,156.4405958,269.8053154,Aetna Life Insurance Company,KS,,,No,190344.76,2217,28674,578805.78,419864.08,12023090.78,8427414.19,261.0761299,189.3838881,,71.69224177,,419.30288,293.9043799,6.638235335,125.3985,132.0367354
5,79881,"UnitedHealthcare of New England, Inc.",RI,,,No,-1100658.25,2469,24434,1004880.32,744221.72,9072871.53,7573584.83,406.9989145,301.4263751,,105.5725395,,371.3215818,309.9609082,-45.04617541,61.36067365,16.31449824,"United Healthcare of New England, Inc.",RI,205106.29,-1072057.02,No,-4145329.17,14930,52255,6471172.88,3626616.76,20036978.72,13911936.86,433.4342184,242.9080214,-71.80556062,190.5261969,118.7206363,383.4461529,266.2316881,-79.32885217,117.2144648,37.88561267,"UnitedHealthcare of New England, Inc.",RI,254775.09,-421370.22,No,-3847407.2,18580,41303,7376842.78,5593087.51,17532789.02,11834233.35,397.031366,301.0273149,-22.6786986,96.00405113,73.32535253,424.4919018,286.5223676,-93.15079292,137.9695342,44.81874125
6,94720,John Alden Life Insurance Company,WI,,,No,-41526.94,3567,9807,1024179,356364,3171224,3042910,287.1261564,99.9058032,,187.2203532,,323.3633119,310.2793923,-4.234418273,13.08391965,8.849501377,John Alden Life Insurance Company,WI,,,No,44877.57,2435,3302,731543,1070851,1223200,1456813,300.4283368,439.774538,,-139.3462012,,370.4421563,441.1910963,13.59102665,-70.74894004,-57.15791339,,,,,,,,,,,,,,,,,,,,,,
7,73893,John Alden Life Insurance Company,AZ,,,No,700477.89,4129,19748,1333099,290994,7310972,5408849,322.8624364,70.47565997,,252.3867765,,370.2132874,273.8935082,35.47082692,96.31977922,131.7906061,John Alden Life Insurance Company,AZ,,,No,543121.99,2690,12255,862943,295044,4839333,4433262,320.7966543,109.6817844,,211.1148699,,394.8864137,361.7512852,44.31839984,33.13512852,77.45352836,,,,,,,,,,,,,,,,,,,,,,
8,69443,UnitedHealthcare Insurance Company,TN,,,No,441221.96,3087,257791,1504762.63,1154277.21,108197599,75636921.19,487.4514512,373.9155199,,113.5359313,,419.7105368,293.4040412,1.711549123,126.3064956,128.0180447,United Healthcare Insurance Company,TN,,,No,1962995.16,2010,219298,972773.15,574155.03,94969112.95,68736410.58,483.9667413,285.6492687,,198.3174726,,433.0596401,313.4383833,8.951267955,119.6212568,128.5725247,UnitedHealthcare Insurance Company,TN,6404602.34,-11876109.92,No,14454.67,428878,208715,165680680.4,168842762.7,92905282.79,65039950.93,386.3119125,393.6848304,-27.69111477,-7.372917939,-35.06403271,445.1298795,311.620875,0.06925554,133.5090044,133.57826
9,25978,UnitedHealthcare Insurance Company,VA,,,No,-1683466.68,2971,384873,1515240.68,1064726.15,150629568,110262167.7,510.0103265,358.3729889,,151.6373376,,391.374734,286.4897452,-4.374083607,104.8849888,100.5109052,United Healthcare Insurance Company,VA,,,No,-7578909.62,2701,336520,1400243.25,996189.3,143273476.9,94979770.15,518.416605,368.8223991,,149.5942058,,425.7502582,282.2410857,-22.52142405,143.5091726,120.9877485,UnitedHealthcare Insurance Company,VA,,,No,-11826669.96,3848,392052,1987823.29,1007559.33,166340227.3,114442158.5,516.5860941,261.8397427,,254.7463514,,424.2810324,291.9055597,-30.16607481,132.3754726,102.2093978
