,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2014,STATE_2014,Not-For-Profit:_2014,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2014,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,1.1Directpremiumwritten7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,2.16Totalincurredclaims7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,SGPremiumPMM_2014,SGCostsPMM_2014,SGRTPMM_2014,SGLossAPMM_2014,SGLossBPMM_2014,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,Not-For-Profit:_2015,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2015,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,1.1Directpremiumwritten7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,2.16Totalincurredclaims7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,SGPremiumPMM_2015,SGCostsPMM_2015,SGRTPMM_2015,SGLossAPMM_2015,SGLossBPMM_2015,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,Not-For-Profit:,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET),7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15,1.1Directpremiumwritten7HealthInsuranceSMALLGROUPTotalasof3/31/15,2.16Totalincurredclaims7HealthInsuranceSMALLGROUPTotalasof3/31/15,SGPremiumPMM,SGCostsPMM,SGRTPMM,SGLossAPMM,SGLossBPMM
219,10191,"Freelancers CO-OP of New Jersey, Inc.",NJ,No,-615255.45,3224,1328535,547193,412.0766129,169.7248759,-190.8360577,242.351737,51.51567928,"Freelancers CO-OP of New Jersey, Inc.",NJ,No,-7735504.78,55523,23304171,17234651.96,419.7210345,310.405633,-139.320728,109.3154015,-30.00532644,Freelancers CO-OP of New Jersey,NJ,No,-7147951.36,103446,45163153,43749502.98,436.5867506,422.9211664,-69.09838331,13.66558417,-55.43279914
2,80148,Federated Mutual Insurance Company,PA,No,-405353.24,2287,916989.73,555129.0741,400.9574683,242.7324329,-177.2423437,158.2250354,-19.01730831,Federated Mutual Insurance Company,PA,No,-2549615.51,31410,11887977.33,12635417.56,378.4774699,402.2737205,-81.17209519,-23.79625056,-104.9683457,Federated Mutual Insurance Company,PA,No,-2016940.67,51221,20485287.15,22481994.61,399.9392271,438.9214309,-39.37722165,-38.98220378,-78.35942543
385,11177,MetroPlus Health Plan,NY,No,-1169658.09,6897,2689694.32,1006261.33,389.9803277,145.8984095,-169.5893997,244.0819182,74.49251849,MetroPlus Health Plan,NY,No,-1666323.89,6620,3357471.94,1522372.869,507.1709879,229.9656902,-251.7105574,277.2052977,25.49474033,Metro Plus Health Plan,NY,Yes,-4170812.16,11773,5785888.2,1788156.146,491.4540219,151.8861926,-354.2692738,339.5678293,-14.70144449
363,87416,Common Ground Healthcare Cooperative,WI,Yes,-1311259.94,7958,3030854,1921238,380.8562453,241.4222166,-164.7725484,139.4340287,-25.33851973,Common Ground Healthcare Cooperative,WI,Yes,-2056055.51,25483,9845691,8387544.133,386.3631048,329.1427278,-80.68341679,57.220377,-23.46303979,Common Ground Healthcare Cooperative,WI,Yes,-1961917.58,27446,11379662,8709913,414.6200539,317.3472637,-71.48282373,97.27279021,25.78996648
208,91069,"HealthyCT, Inc. **",CT,Yes,-532743.6,3296,1586985,1099864,481.4881675,333.6966019,-161.6333738,147.7915655,-13.84180825,"HealthyCT, Inc.",CT,Yes,-6459820.49,70909,33868422.85,25807424.24,477.6322166,363.9513213,-91.10014935,113.6808954,22.58074603,"HealthyCT, Inc.",CT,Yes,-7270795.39,127194,61978942.2,51975877.87,487.2788198,408.6346673,-57.16303749,78.64415248,21.48111499
202,79763,Land of Lincoln Mutual Health Insurance Company,IL,Yes,-390929.05,2616,1050211,739726.3,401.4568043,282.7699924,-149.4377102,118.6868119,-30.75089832,Land of Lincoln Mutual Health Insurance Company,IL,Yes,-9219351.96,91889,29968027.7,29579357.79,326.132918,321.9031417,-100.3313994,4.229776252,-96.10162315,Land of Lincoln Mutual Health Insurance Company,IL,Yes,-9752011.63,78617,28600118,25522742.98,363.7905033,324.6466156,-124.0445658,39.14388771,-84.9006781
325,47579,Chinese Community Health Plan,CA,No,-3067299.35,21332,7427529.8,3522425.852,348.1872211,165.1240321,-143.7886438,183.063189,39.27454519,Chinese Community Health Plan,CA,No,-1540479.6,23217,8254775.56,6249229.411,355.54876,269.1661029,-66.35136323,86.38265706,20.03129384,Chinese Community Health Plan,CA,No,-2248025.07,25754,9941795.73,7127228.128,386.0291889,276.7425692,-87.28838511,109.2866196,21.99823453
374,88582,Health Insurance Plan of Greater New York,NY,Yes,-29376578.45,234100,86379651.53,59919652.72,368.9861236,255.9575084,-125.4873065,113.0286152,-12.45869133,Health Insurance Plan of Greater New York,NY,Yes,-36417583.95,197242,85913688.29,53075847.67,435.575021,269.0899893,-184.6340229,166.4850317,-18.14899124,Health Insurance Plan of Greater New York,NY,Yes,-35246057.62,195527,103490130.3,58663508.18,529.2881817,300.0276595,-180.2618442,229.2605222,48.99867793
138,99389,"Community Care of Oregon, Inc.",OR,Yes,-356550.41,3550,1279194.69,533071.7344,360.3365324,150.1610519,-100.4367352,210.1754805,109.7387452,"Community Care of Oregon, Inc.",OR,Yes,-1315272.66,29172,10666166.56,8395097,365.6302811,287.7792746,-45.08681818,77.85100644,32.76418826,"Community Care of Oregon, Inc.",OR,Yes,-3515859.4,41951,14583747.42,14033405.26,347.6376587,334.5189688,-83.80871493,13.1186899,-70.69002503
179,16204,"Coordinated Health Mutual, Inc.",OH,Yes,-2121774.3,23358,9895280,9902068,423.6355852,423.9261923,-90.83715643,-0.290607073,-91.12776351,"Coordinated Health Mutual, Inc.",OH,Yes,-3214448.51,62497,30610399,35502288,489.7898939,568.0638751,-51.43364497,-78.27398115,-129.7076261,Coordinated Health Mutual,OH,Yes,-11674650.02,31622,15020870,12987834,475.0132819,410.7214597,-369.1939163,64.29182215,-304.9020941
