State,STATE AVERAGE MONTHLY PREMIUMS 2016,STATE AVERAGE PLAN LIABILITY RISK SCORE 2016,STATE AVERAGE ALLOWABLE RATING FACTOR 2016,STATE AVERAGE ACTUARIAL VALUE 2016,STATE INDUCED DEMAND FACTOR 2016,STATE BILLABLE MEMBER MONTHS 2016,STATE AVERAGE MONTHLY PREMIUMS 2015,STATE AVERAGE PLAN LIABILITY RISK SCORE 2015,STATE AVERAGE ALLOWABLE RATING FACTOR 2015,STATE AVERAGE ACTUARIAL VALUE 2015,STATE INDUCED DEMAND FACTOR 2015,STATE BILLABLE MEMBER MONTHS 2015,STATE AVERAGE MONTHLY PREMIUMS DIFFERENCE,STATE AVERAGE PLAN LIABILITY RISK SCORE DIFFERENCE,STATE AVERAGE ALLOWABLE RATING FACTOR DIFFERENCE,STATE AVERAGE ACTUARIAL VALUE DIFFERENCE,STATE INDUCED DEMAND FACTOR DIFFERENCE,STATE BILLABLE MEMBER MONTHS DIFFERENCE
AK,668.9082734,1.122278349,1.41634084,0.703203822,1.036141786,133581.0667,632.7861673,1.178032546,1.414118645,0.703287852,1.036738196,120393.7,-36.12210611,0.055754197,-0.002222194,8.40297E-05,0.00059641,-13187.36667
AL,412.5117306,1.573860651,1.463283358,0.775223726,1.070571983,2493431.533,385.0747427,1.579626541,1.454981525,0.777875994,1.071944149,2886046.6,-27.43698795,0.00576589,-0.008301833,0.002652268,0.001372167,392615.0667
AR,383.7527175,1.367361629,1.410753982,0.786467587,1.076878273,283760.6667,388.0004202,1.436552829,1.419193563,0.788108678,1.078035045,196338.7,4.247702685,0.069191199,0.00843958,0.001641092,0.001156772,-87421.96667
AZ,373.9978882,1.22052109,1.36749991,0.733504238,1.051974029,1522128.733,349.8699082,1.245774007,1.361314685,0.744078399,1.056978362,1383988.867,-24.12798004,0.025252916,-0.006185226,0.010574161,0.005004333,-138139.8667
CA,434.4238127,1.159441138,1.368485558,0.763325679,1.06820926,21838121.8,414.8205279,1.15484294,1.36400074,0.764698501,1.06914742,11622795.83,-19.60328482,-0.004598198,-0.004484818,0.001372823,0.00093816,-10215325.97
CO,421.8277084,1.087258241,1.363597355,0.719442149,1.043807051,2447038.7,423.6961275,1.072549179,1.362652809,0.718625587,1.042601313,1222299.2,1.868419105,-0.014709062,-0.000944546,-0.000816562,-0.001205738,-1224739.5
CT,498.4038738,1.336831723,1.450715426,0.726017358,1.047433607,2042888.6,500.380738,1.329606327,1.439716992,0.726995434,1.048238855,2136247.2,1.976864203,-0.007225396,-0.010998433,0.000978076,0.000805249,93358.6
DC,469.4964679,1.348042119,1.039519565,0.829960367,1.104672842,968107.2,449.5491221,1.373163084,1.041651674,0.837558869,1.109198235,984029.8,-19.94734581,0.025120965,0.002132109,0.007598503,0.004525393,15922.6
DE,526.4680965,1.36495944,1.419995137,0.754713038,1.060771497,364358.4333,505.8786673,1.46132037,1.420655435,0.759261861,1.063391164,374884.3333,-20.58942914,0.09636093,0.000660298,0.004548824,0.002619667,10525.9
FL,477.793713,1.38314708,1.452026041,0.756174024,1.062766169,2937374.867,472.1573873,1.407137559,1.455525636,0.747570875,1.058868776,2125157.533,-5.636325712,0.023990479,0.003499595,-0.008603149,-0.003897393,-812217.3333
