State,STATE AVERAGE MONTHLY PREMIUMS,STATE AVERAGE PLAN LIABILITY RISK SCORE,STATE AVERAGE ALLOWABLE RATING FACTOR,STATE AVERAGE ACTUARIAL VALUE,STATE INDUCED DEMAND FACTOR,STATE BILLABLE MEMBER MONTHS
AK,626.6700303,1.575311319,1.601928963,0.665172131,1.020881132,252070.0667
AL,344.4947886,1.909180782,1.570781878,0.709665554,1.037659785,2471189.533
AR,358.2295951,2.075040806,1.486412338,0.700076257,1.030931478,3264611.533
AZ,295.2766706,1.58389833,1.514094568,0.708990558,1.040686948,2640412.033
CA,380.0201408,1.34369176,1.554203697,0.700476863,1.038422099,24317669.9
CO,336.1837274,1.369006861,1.556461891,0.673246494,1.025411444,2466925.267
CT,431.0480539,1.515847409,1.651046073,0.699608269,1.034409352,1950317.067
DC,325.7893939,1.359450141,1.083892841,0.737366919,1.058496921,166221.2667
DE,401.9187301,1.785321113,1.598107914,0.720927219,1.045173071,390595.9333
FL,392.0164113,1.698755175,1.632963307,0.704755583,1.037519954,16884417.17
GA,344.0807428,1.613213821,1.540211489,0.701590568,1.035779988,6184546.1
HI,279.7727761,1.756269809,1.580715515,0.74184742,1.059660902,418464.2667
IA,348.6338299,1.587335395,1.585835094,0.687654472,1.029817684,984895.9
ID,300.8166302,1.538849906,1.537931441,0.695071047,1.033256143,1311030.9
IL,329.7920231,1.603369086,1.585907942,0.696367191,1.034620812,5764784.933
IN,435.4973472,1.728384693,1.669093149,0.66883584,1.022149488,2408899
KS,289.7702567,1.680885569,1.53439439,0.693234488,1.032912001,1442690.967
KY,341.1071324,1.79846324,1.663603366,0.715553018,1.04418689,1235018.6
LA,409.5799556,1.815883287,1.555031166,0.698851943,1.036473576,2099225.233
MD,301.2887085,1.547025088,1.545388809,0.708783054,1.042598346,2821902.7
ME,420.5759751,1.536783606,1.721388878,0.683942852,1.026664785,861989.7333
MI,365.7176362,1.674187692,1.642010756,0.688932507,1.030456472,4617561.733
MN,300.1307827,1.412514392,1.645171725,0.710843435,1.044003035,3235126.367
MO,353.2924893,1.734168665,1.56480307,0.683552459,1.028093116,3012820.833
MS,398.3086952,1.78630081,1.596999432,0.711140286,1.03821795,1067543.5
MT,326.6507305,1.416488574,1.627161071,0.671873261,1.025538218,948356.5333
NC,408.4654693,1.724583272,1.575062039,0.69255976,1.03113186,5987032.767
ND,385.6556595,1.394773581,1.458509238,0.727239113,1.0496491,447449.4667
NE,353.6566586,1.463438074,1.525335424,0.668823073,1.023353684,1117092.567
NH,379.1143677,1.417988385,1.713599056,0.676013491,1.025526613,595032.1333
NJ,470.5868294,1.625919981,1.606666785,0.706750873,1.037753458,3545090.733
NM,314.069027,1.558972107,1.689248328,0.702187558,1.035973515,912306.5
NV,339.6306646,1.559421744,1.539202291,0.695202008,1.035448382,1366892.633
NY,446.2868102,1.730549046,0.99026017,0.734683913,1.054522879,5328270.967
OH,380.9651147,1.756038119,1.684320508,0.680019141,1.027117653,2930602.633
OK,285.4629202,1.716492403,1.526313485,0.682440411,1.027637533,1880217.1
OR,304.4655932,1.445386453,1.607968874,0.695383572,1.033076374,2413682.867
PA,347.4672984,1.761896069,1.658462361,0.723855188,1.045969451,6963946.233
RI,363.3581999,1.702144685,1.670018051,0.696517487,1.033002641,492252.7667
SC,364.2954093,1.761573658,1.643775518,0.693671238,1.03081541,2195866.433
SD,333.3917302,1.616370288,1.452163506,0.693388616,1.031810304,465177.4667
TN,310.6080201,1.923786406,1.623704176,0.68606748,1.029203941,2977402.933
TX,334.9304452,1.657992675,1.522563555,0.683148474,1.028239979,14099873.03
UT,260.4140807,1.454601087,1.567246909,0.703432998,1.036160539,1900532.033
VA,343.0407051,1.541018772,1.533603966,0.690460933,1.030856209,4750566.933
WA,363.2890459,1.450814095,1.661281579,0.671075549,1.02487949,3709769.9
WI,451.2195084,1.75950637,1.757247495,0.68535538,1.028219546,2507391.967
WV,422.9263861,1.989958077,1.737028106,0.712760672,1.039472193,517573.0667
WY,555.0697504,1.514807522,1.584880515,0.681125966,1.02766398,263671.0667
