State,IndPremiumPMM14,IndCostsPMM14,IndPremiumMinusCostsPMM14,IndPremiumPMM15,IndCostsPMM15,IndPremiumMinusCostsPMM15
AK,428.5499735,567.6225564,-139.0725829,562.1426403,804.0833074,-241.9406671
AL,287.730135,317.1517963,-29.42166138,318.2313216,403.2476168,-85.0162952
AR,295.0161607,318.532479,-23.51631825,315.1458238,379.3395301,-64.19370628
AZ,251.6316987,307.0935305,-55.46183175,276.4442664,354.5674483,-78.12318189
CA,362.5287731,325.8020644,36.72670876,374.231712,359.7304796,14.50123239
CO,310.81371,320.6388057,-9.825095777,314.8671437,372.0280664,-57.1609227
CT,376.5160717,347.7922589,28.72381281,415.3779052,406.8297452,8.548160017
DC,307.5446622,245.4476559,62.09700629,330.7646129,396.6559618,-65.89134895
DE,237.8387428,182.6565948,55.18214809,362.7892196,323.345255,39.44396463
FL,318.4023843,320.200864,-1.798479716,361.0488716,367.1489718,-6.100100186
GA,280.5390299,303.2044822,-22.66545225,325.277856,382.0328404,-56.75498439
HI,271.0702709,306.712463,-35.64219206,286.0051567,360.0840823,-74.07835029
IA,279.7270925,302.2132487,-22.48615627,310.1735044,322.1822952,-12.00879079
ID,221.2058326,271.5870628,-50.38123015,278.3732992,376.375659,-98.00235987
IL,293.5295056,334.6711679,-41.14166236,319.2890312,396.7213102,-77.43018564
IN,358.0036543,324.8445615,33.15909279,405.489673,414.3968416,-8.905438646
KS,253.8800596,287.0830531,-33.20299352,281.3542592,342.8656179,-61.51135873
KY,267.8114408,303.639696,-35.82825515,307.139543,340.2509884,-33.11144539
LA,297.8415103,318.1048956,-20.26338526,357.4326827,393.0546683,-35.62198557
MA,449.4874625,461.6799466,-12.19248406,384.270792,384.2572819,0.013510121
MD,256.8977883,261.201515,-4.303726734,290.6217013,300.2981393,-9.676438036
ME,408.383059,417.4925455,-9.109486536,405.7760561,450.9539767,-45.17792057
MI,276.7872829,281.0690228,-4.281739968,340.7245919,331.5898986,9.13469329
MN,260.2882686,328.0152945,-67.72702591,304.1411672,384.2950268,-80.15385963
MO,270.1399751,279.1155032,-8.975528151,311.9432756,312.6680196,-0.724744005
MS,318.7576249,280.7382812,38.01934371,340.505857,328.3693749,12.13648203
MT,299.2333318,380.5202578,-81.28692608,318.7615054,436.5277823,-117.7662769
NC,313.7093146,341.7082357,-27.99892106,363.8039621,369.85468,-6.05073004
ND,328.7780732,309.3617974,19.4162758,371.0748254,331.7932762,39.28154913
NE,273.0368678,375.6551163,-102.6182485,336.342527,389.5701497,-53.22762265
NH,364.3407696,282.7439922,81.59677744,362.0251253,303.4658075,58.55931778
NJ,423.7805167,375.6812692,48.0992475,449.7114824,416.2760088,33.43547359
NM,289.554446,299.8842779,-10.32983187,306.9983194,351.9177007,-44.91938122
NV,271.7366662,269.4692091,2.267457076,322.695474,339.4366092,-16.74113514
NY,404.9906776,412.0913557,-7.100678137,398.0171101,416.4295636,-18.4124535
OH,300.4568578,291.0500343,9.406823484,336.918408,333.4622158,3.456192211
OK,246.4087101,290.8217089,-44.41299878,279.0922149,386.9087616,-107.8165467
OR,290.6412767,355.7882557,-61.49338192,290.2927415,379.8006096,-89.50786818
PA,293.7831251,351.2334477,-57.45014506,335.861757,405.6027406,-69.74079071
RI,357.3641454,346.1314033,11.23274201,365.226215,298.2880587,66.93815627
SC,315.8212451,311.9968777,3.824367354,340.223942,383.1219178,-42.89797583
SD,282.8303125,299.6297133,-16.79940079,303.0302389,371.2010852,-68.17084628
TN,251.18706,313.4589053,-62.27184525,290.4868183,372.2880663,-81.80124805
TX,274.2967347,330.200064,-55.9033293,312.3387278,396.2206179,-83.88189007
UT,183.2001312,233.5524861,-50.35235492,218.118827,299.1303858,-81.01155883
VA,287.2121958,270.2484677,16.96372815,309.7870185,297.9602304,11.82678804
WA,347.2499978,307.3475352,39.90246262,357.0425492,358.7928671,-1.750317921
WI,365.6774122,437.6167532,-71.93968816,404.1643201,491.6773371,-87.51301702
WV,348.1407156,405.6132704,-57.47255475,416.6565832,539.267829,-122.6112458
WY,428.8885584,488.9965329,-60.1079745,509.7574969,583.0296401,-73.27214317
