State,Individual Group Numerical Enrollment (MM) Per State for 2014 Benefit year,Small Group Numerical Enrollment (MM) Per State for 2014 Benefit year,Individual Group Numerical Enrollment (MM) Per State for 2015 Benefit year,Small Group Numerical Enrollment (MM) Per State for 2015 Benefit year
AK,258881,343392,325626,325568
AL,2274722,3260189,2864708,2834802
AR,3121962,1536407,3958933,1525045
AZ,3197662,2265704,3871338,2136345
CA,22441576,19727003,27002162,20453567
CO,2999517,2645830,3330715,2488843
CT,1753345,2379163,2049667,2108165
DC,219258,1086765,229779,1072547
DE,71296,146479,44902,113176
FL,14772312,8437500,20349105,7939564
GA,5840120,5178387,7241865,4759463
HI,393292,1963378,535420,1558721
IA,2380043,1823790,2296189,1849526
ID,1717449,951688,1694991,928729
IL,6607278,6752382,7734152,6201846
IN,2380005,3587984,2800052,3204849
KS,1835226,2091102,2127969,1835353
KY,1952471,1725884,1940814,1592687
LA,2577339,3386475,3162959,3156013
MA,1099283,6349006,2762504,5684606
MD,2409339,3442001,3361699,3110591
ME,602840,773998,965927,769209
MI,4829585,6086856,5206893,5562894
MN,3489499,3473528,3720489,3296512
MO,3508667,3270188,4276133,2923066
MS,1318062,1046948,1438791,1026844
MT,788748,584144,972196,529383
NC,7214133,3628672,8644515,3265196
ND,577004,782675,659539,752980
NE,1497499,1017257,1580700,945954
NH,651086,901789,751863,855020
NJ,3088013,7455496,3668298,5943581
NM,807587,641077,918699,648799
NV,1249146,1173649,1589384,1030404
NY,4869687,13890389,6267502,12533168
OH,4041647,9780404,4432933,8842411
OK,1799914,2147014,2174971,2078568
OR,2385714,2301998,2832388,2107626
PA,6811950,9814766,7542088,8951464
RI,436592,812056,506673,744021
SC,2001572,1378630,2862856,1306739
SD,862251,587167,925364,583154
TN,2965043,3763698,3687540,3616904
TX,13314269,15065760,17149490,14325180
UT,2436063,2775853,2819590,2548515
VA,4700249,4698166,6181717,4505966
WA,3728446,2818886,3897417,2968437
WI,2251479,4075224,2772184,3888779
WV,416072,613301,521990,585692
WY,280337,271189,336614,258577
