,MM_individual,Premium_individual,Costs_individual,Transfers_individual,Premium_individual_pmm,Costs_individual_pmm,Transfers_individual_pmm
0,10131.0,3278758.81,2492398.44,-52362.57,323.6362461751061,246.017021024578,-5.168549007995262
1,1557.0,564086.0,210481.0,,362.2903018625562,135.18368657675015,
2,78624.0,33550284.0,46525522.0,-4806964.11,426.71810134310135,591.7470746845747,-61.13863591269842
3,146645.0,66855354.0,90720294.0,5782175.12,455.8993078522964,618.6388489208633,39.42974612158614
4,21876.0,6660334.0,6996763.0,-922848.49,304.4584933260194,319.83740171877855,-42.18543106600841
5,48.0,34628.88,1236.58,,721.435,25.762083333333333,
6,,,,,,,
7,2190059.0,631740397.0,695885393.0,993113.39,288.45816345587036,317.74732689849907,0.4534642171740579
8,,,,,,,
9,334.0,65447.0,249168.0,26222.47,195.94910179640718,746.0119760479042,78.51038922155689
10,71319.0,18905173.34,20499199.8,-983926.61,265.07905803502575,287.4297143818618,-13.796135812336123
11,352.0,143720.0,28213.0,,408.29545454545456,80.15056818181819,
12,11799.0,3245622.0,4465455.0,-35409.21,275.07602339181284,378.4604627510806,-3.0010348334604626
13,784.0,345343.28,213507.56,,440.48887755102044,272.3310714285714,
14,51.0,50860.34,90867.33,,997.2615686274509,1781.7123529411765,
15,24.0,9505.08,364.77,,396.045,15.198749999999999,
16,,,,,,,
17,343956.0,140041687.7,125826699.3,-8621410.48,407.1500066869018,365.8220798590517,-25.065445812836526
18,,,,-4414.54,,,
19,,,,,,,
20,870.0,212338.0,138336.0,-3621.42,244.06666666666666,159.00689655172414,-4.1625517241379315
21,,,,,,,
22,13384.0,2178290.92,1614966.321,68170.5,162.7533562462642,120.66395106096832,5.093432456664674
23,742.0,283794.0,89560.0,,382.47169811320754,120.70080862533693,
24,157507.0,43191534.2,46343131.76,-5943287.09,274.2197756290197,294.22902956693986,-37.733479083469305
25,,,,,,,
26,25130.0,7106472.0,10477266.0,-2043.49,282.7883804218066,416.92264226024673,-0.08131675288499801
27,188.0,72465.86,51003.59,,385.4567021276596,271.2956914893617,
28,1964.0,867370.93,548758.92,,441.63489307535644,279.4088187372709,
29,2567.0,870399.72,1047720.59,71131.67,339.0727386053759,408.1498208024932,27.71003895597974
30,,,,,,,
31,2575654.0,726204889.8,808308852.6,14435474.74,281.9497066764402,313.8266446502519,5.604586151711371
32,269.0,127815.98,119110.44,,475.1523420074349,442.7897397769517,
33,146265.0,37434147.38,32381578.1,-437141.1,255.93373247188325,221.38979318360512,-2.9886924418008407
34,,,,,,,
35,1649769.0,425888273.0,447234457.3,14331092.97,258.15024588290845,271.0891387218453,8.686727032693668
36,16576.0,5021387.0,11070817.0,1978320.29,302.9311655405405,667.8822997104247,119.34847309362935
37,80.0,26614.0,127192.0,1902.67,332.675,1589.9,23.783375
38,4697.0,1812900.71,3639322.68,-243631.04,385.96991909729616,774.8185394932937,-51.86949968064722
39,383387.0,114439203.0,190164372.0,469.35,298.4952619676724,496.0115288207477,0.0012242199135599277
40,567847.0,124579161.0,170970269.0,-26088803.1,219.38860467696404,301.0850968658811,-45.94336696328413
41,32208.0,8637428.75,14286146.19,-351373.9,268.1765011798311,443.55893535767507,-10.909522478887233
42,180110.0,31945882.48,27091713.83,1164384.91,177.36873288545888,150.41759941147075,6.464854311254233
43,4129.0,1333099.0,290994.0,,322.86243642528456,70.47565996609349,
44,14965.0,2097652.0,1019927.0,,140.17053123955898,68.15415970598062,
45,26839.0,6768244.0,14641929.0,2073821.34,252.17944036663064,545.5467416818808,77.26894966280413
46,3529.0,1338745.0,5769734.255,800921.39,379.35534145650325,1634.948782941343,226.95420515726835
47,2131.0,346061.0,307990.0,,162.3937118723604,144.52839042702956,
48,147996.0,34843805.0,56760689.0,5883719.72,235.43747803994702,383.52853455498797,39.75593745776913
49,10904.0,5036335.1,4047839.0,,461.87959464416724,371.2251467351431,
50,5753.0,2810864.09,1870467.82,28226.14,488.5910116460977,325.12911872066746,4.906334086563532
51,208.0,145502.6,186764.29,,699.5317307692308,897.9052403846155,
52,,,8435.06,858090.36,,,
53,4418.0,2247068.97,3347533.76,,508.6167881394297,757.7034314169307,
54,63292.0,20902313.32,13984397.1,,330.25205902799723,220.95046925361814,
55,6902480.0,2473401722.0,2027689771.0,-181692588.0,358.3352247308214,293.76249855124536,-26.322798182682167
