,MM_smallgroup,Premium_smallgroup,Costs_smallgroup,Transfers_smallgroup,Premium_smallgroup_pmm,Costs_smallgroup_pmm,Transfers_smallgroup_pmm
0,39766.0,24954358.92,23844555.54,-2026261.96,627.530023638284,599.621675300508,-50.9546336065986
1,28604.0,14697821.94,13785490.28,-1188058.34,513.8379925884492,481.9427450706195,-41.534692350720185
2,14475.0,9327417.83,9812845.57,-803155.69,644.3811972366149,677.9167924006908,-55.48571260794473
3,124234.0,88331170.0,71058655.0,4017476.01,711.006407263712,571.9742985012155,32.33797519197643
4,29224.0,10832651.0,8649306.0,-1146502.7,370.6765329865864,295.9658499863126,-39.23154598959759
5,14595.0,5106238.53,4205289.49,-1064013.58,349.86218088386437,288.13220212401507,-72.90260911270984
6,38560.0,14239165.24,10247714.28,-51436.04,369.27295746887967,265.7602251037344,-1.3339221991701244
7,616.0,293269.83,363550.74,-32889.86,476.08738636363637,590.1797727272727,-53.39262987012987
8,2537700.0,1022653135.0,874543227.0,2294842.22,402.98425148756746,344.62041494266464,0.9043000433463373
9,,,11.14,,,,
10,,,,,,,
11,,,,,,,
12,162694.0,58916064.32,45445904.46,-633751.37,362.12807061108583,279.33362299777497,-3.8953579726357455
13,36280.0,14402452.69,12342709.48,-602953.44,396.9805041345094,340.20698676957005,-16.619444321940463
14,14177.0,5056473.9,4949884.57,-373879.22,356.6674120053608,349.14894335896173,-26.372238132185934
15,,,,-135289.79,,,
16,112358.0,39388723.0,29120637.0,-59363.91,350.56447248972034,259.17724594599406,-0.5283460901760445
17,177934.0,59497851.0,48434137.19,-32736.62,334.3815740667888,272.2028234626322,-0.18398181348140322
18,,,,-17774.27,,,
19,135037.0,45365160.0,35253995.73,56688.96,335.946148092745,261.0691568236853,0.41980316505846543
20,555833.0,197464611.0,159829913.3,1799059.63,355.2588835135733,287.55024134947007,3.2366909305492837
21,,,,,,,
22,,,,,,,
23,,111.3,-111.12,,,,
24,,,,,,,
25,149687.0,50188176.33,33654380.49,-6031056.26,335.2874753986652,224.83168538350026,-40.29111586176488
26,48583.0,18042185.5,13801196.73,-2809420.3,371.36828726097605,284.07460901961593,-57.82722968939752
27,566367.0,216217391.7,164400720.1,-1968495.77,381.76198772174223,290.2724207095399,-3.475654072359442
28,21361.0,6407443.58,3734468.06,-1413358.56,299.9599073077103,174.82646224427697,-66.16537428023032
29,43082.0,16925545.25,9761997.179,-1065223.04,392.8681409869551,226.59108627733158,-24.725477925815888
30,646.0,303814.0,69059.0,-107879.38,470.3003095975232,106.90247678018576,-166.99594427244583
31,389.0,200149.0,89465.0,-59130.69,514.521850899743,229.98714652956298,-152.00691516709512
32,6122.0,2519579.0,1342281.19,-7293.51,411.56141783730806,219.25533975824894,-1.191360666448873
33,3161.0,1108010.0,1328039.0,28617.42,350.5251502689022,420.1325529895603,9.05328060740272
34,1711.0,688145.54,480063.82,32801.56,402.18909409701934,280.57499707773235,19.170987726475744
35,375212.0,114890897.2,79088862.72,1799959.4,306.2026193192115,210.78447043271538,4.797179727727258
36,610625.0,218139483.3,174813085.5,5204264.49,357.2396860593654,286.2855033776868,8.52284870419652
37,234437.0,103033321.8,87534460.06,6396214.81,439.49257924303754,373.38159104578205,27.28329918059009
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,9839547.0,3787699733.0,3188832562.0,-254946663.78,384.946556279471,324.0832694838492,-25.910406625426962
43,1456517.0,568704784.7,453296846.1,-41807057.69,390.45530172322054,311.2197427836407,-28.703446434198845
44,1007899.0,369272980.2,263163402.5,-30584653.01,366.37895285142656,261.1009659698045,-30.344958185294363
45,752476.0,313299507.8,236566313.5,-15840917.19,416.358140060281,314.38386539902933,-21.051724161302154
46,249030.0,95608991.0,73141375.0,-12698603.21,383.925595309802,293.7050756936915,-50.992262819740596
47,328423.0,121637584.0,97593172.1,-9546508.28,370.36865262177133,297.1569351111219,-29.067721444600405
48,840398.0,396508256.6,286806596.8,-6770926.79,471.81009069512305,341.27472554670527,-8.056809737767106
49,25754.0,9941795.73,7127228.128,-2248025.07,386.02918886386584,276.74256923196396,-87.28838510522637
50,12242.0,6385600.0,5978671.0,-331349.12,521.6141153406306,488.3737134455154,-27.06658389152099
51,4504.0,2268602.0,2123577.0,270905.91,503.6860568383659,471.4869005328597,60.14784857904085
52,6776.0,3460340.0,2236161.767,274684.29,510.6759149940968,330.0120671487603,40.53782319952774
53,386159.0,147422011.0,134366650.2,2191329.0,381.7650527373439,347.9568006960863,5.674680636732537
54,596237.0,280697468.9,219389505.6,22400144.48,470.7817007330977,367.95687889211837,37.56919560510334
55,1089874.0,582252480.6,478291453.0,27189932.09,534.2383436984459,438.85022764099335,24.947775697007177
56,5418248.0,2611049575.0,2051146352.0,105943814.59,481.89923661670707,378.56265567762864,19.553149761694186
57,4829405.0,2321335455.0,1858404979.0,216503893.64,480.66696725580067,384.81033978305817,44.83034527855916
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,385.0,237487.0,201864.0,,616.8493506493506,524.3220779220779,
62,,1.0,,,,,
63,13566.0,8763316.0,5193932.0,,645.9764116172785,382.8639245171753,
64,148383.0,52438101.56,33409139.55,-8152391.81,353.3969629944131,225.1547653706961,-54.94154862753819
