state,State,Individual Group Numerical Enrollment (MM) Per State for 2014 Benefit year,Small Group Numerical Enrollment (MM) Per State for 2014 Benefit year,Individual Group Numerical Enrollment (MM) Per State for 2015 Benefit year,Small Group Numerical Enrollment (MM) Per State for 2015 Benefit year,Individual Group Numerical Enrollment (MM) Per State for 2016 Benefit year,Small Group Numerical Enrollment (MM) Per State for 2016 Benefit year,2014 State Population,2015 State Population,2016 State Population,2014 Individual MM Over Population,2014 Small Group MM Over Population,2015 Individual MM Over Population,2015 Small Group MM Over Population,2016 Individual MM Over Population,2016 Small Group MM Over Population,Individual Change 2015-2014,Individual Change 2016-2015,Small Group Change 2015-2014,Small Group Change 2016-2015
alaska,AK,258881,343392,325626,325568,256447,207079,736759,737979,741522,0.029281511,0.038840381,0.036770016,0.036763467,0.028819891,0.023271843,0.257821161,-0.212449252,-0.054747395,-0.363945474
alabama,AL,2274722,3260189,2864708,2834802,2749758,2620695,4840037,4850858,4860545,0.039165024,0.056132302,0.049213081,0.048699323,0.047144199,0.044931433,0.259366199,-0.040126254,-0.150058805,-0.075528026
arkansas,AR,3121962,1536407,3958933,1525045,4387953,1194313,2964800,2975626,2988231,0.087750776,0.043184672,0.110871152,0.04270936,0.122367632,0.033306021,0.268091348,0.108367583,-0.007450272,-0.216867043
arizona,AZ,3197662,2265704,3871338,2136345,3582024,2061383,6706435,6802262,6908642,0.039733753,0.028153358,0.047427091,0.026171992,0.043207044,0.024864788,0.210677676,-0.074732302,-0.060551549,-0.035088902
california,CA,22441576,19727003,27002162,20453567,27417095,26857440,38701278,39032444,39296476,0.048322211,0.042477071,0.057648969,0.043667876,0.058141547,0.056954725,0.203220398,0.015366658,0.035522606,0.313093213
colorado,CO,2999517,2645830,3330715,2488843,3587348,2885662,5342311,5440445,5530105,0.046788693,0.041271621,0.051017809,0.03812254,0.054057864,0.043484135,0.11041711,0.077050423,-0.063076297,0.159439145
connecticut,CT,1753345,2379163,2049667,2108165,2099194,1999166,3600188,3593862,3587685,0.04058457,0.055070342,0.047527029,0.048883462,0.048759251,0.04643584,0.169003818,0.024163437,-0.128546864,-0.051703259
delaware,DE,71296,146479,44902,113176,43190,97076,934805,944107,952698,0.006355693,0.013057893,0.003963357,0.009989687,0.003777867,0.008491323,-0.370203097,-0.038127478,-0.2942585,-0.142256309
florida,FL,14772312,8437500,20349105,7939564,21554090,7276264,19897747,20268567,20656589,0.061867607,0.035336915,0.083664462,0.032643173,0.086954055,0.029354088,0.3775166,0.059215626,-0.062715786,-0.08354363
georgia,GA,5840120,5178387,7241865,4759463,7036939,3322729,10083850,10199533,10313620,0.048262982,0.042794394,0.059168273,0.038886282,0.056857978,0.02684742,0.240019897,-0.028297407,-0.088019174,-0.301868929
hawaii,HI,393292,1963378,535420,1558721,492348,1564746,1417710,1426320,1428683,0.023117798,0.115407829,0.031282134,0.091068916,0.028718057,0.091269722,0.361380348,-0.080445258,-0.259608358,0.003865349
iowa,IA,2380043,1823790,2296189,1849526,2007112,1899092,3105563,3118473,3130869,0.063865044,0.048938791,0.061359865,0.049423922,0.053422655,0.050547521,-0.035232137,-0.125894253,0.013914917,0.026799299
idaho,ID,1717449,951688,1694991,928729,1718476,903028,1630391,1649324,1680026,0.087783084,0.048643137,0.085640693,0.04692473,0.085240546,0.044792362,-0.013076371,0.013855531,-0.024720882,-0.027673304
illinois,IL,6607278,6752382,7734152,6201846,7203187,6300593,12882438,12862051,12835726,0.042740862,0.043679504,0.050109634,0.040181811,0.046765223,0.040905315,0.170550414,-0.068652,-0.088769699,0.015922195
indiana,IN,2380005,3587984,2800052,3204849,2602895,2251966,6593182,6610596,6634007,0.030081643,0.045349676,0.035297523,0.040400404,0.032696365,0.028288157,0.176489965,-0.070411907,-0.119548534,-0.297325397
kansas,KS,1835226,2091102,2127969,1835353,2040506,1681865,2899553,2905789,2907731,0.052744509,0.060098401,0.061026713,0.052634958,0.058479332,0.048200957,0.159513324,-0.041101633,-0.139345946,-0.083628599
kentucky,KY,1952471,1725884,1940814,1592687,1810132,1500436,4410415,4422057,4436113,0.036891294,0.032610008,0.036574495,0.030014067,0.034003718,0.028186012,-0.005970383,-0.067333603,-0.083630368,-0.057921613
louisiana,LA,2577339,3386475,3162959,3156013,3038406,2325110,4648797,4671211,4686157,0.046200824,0.060705221,0.056426463,0.056302548,0.054031587,0.041347135,0.227218849,-0.039378632,-0.073023147,-0.263276165
massachusetts,MA,1099283,6349006,2762504,5684606,3606069,5578652,6757925,6794002,6823721,0.01355548,0.078290871,0.033884103,0.069725791,0.044038399,0.068128176,1.513005295,0.305362454,-0.116877054,-0.018638759
