,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2014,STATE_2014,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2014,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2014",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2014,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2015,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2015",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2015,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015
0,11082,Aetna Life Insurance Company,AK,120363.61,-52362.57,22831.39,10131,33718,3278758.81,2492398.44,Aetna Life Insurance Company,AK,0,-34550.55,557129.08,2906,21271,958431.34,462786.99
1,62637,John Alden Life Insurance Company,AK,,,78962.62,1557,24712,564086,210481,John Alden Life Insurance Company,AK,,,607207.25,1050,13952,448136,916563
2,73836,"Moda Health Plan, Inc.",AK,13102419.34,-4806964.11,24371,78624,17725,33550284,46525522,"Moda Health Plan, Inc.",AK,26305543.39,-9415111.19,-683234.43,159592,26851,93990086,146808709
3,38344,Premera Blue Cross Blue Shield of Alaska,AK,19984669.96,5782175.12,-119931.53,146645,222340,66855354,90720294,Premera Blue Cross Blue Shield of Alaska,AK,14655165.1,12358455.76,1742413.11,143355,229779,78693115,105293849
4,38596,Time Insurance Company,AK,1558728.91,-922848.49,-317715.76,21876,25471,6660334,6996763,Time Insurance Company,AK,1167367.38,-2908793.99,-1465993.25,18660,18371,8912183,8302282
5,80049,UnitedHealthcare Insurance Company,AK,,,311482.27,48,19426,34628.88,1236.58,United Healthcare Insurance Company,AK,,,-757521.8,63,15344,46308.04,46241.06
6,42159,All Savers Insurance Company,AL,,,-2634.74,,1199,,,,,,,,,,,
7,46944,Blue Cross and Blue Shield of Alabama,AL,97314734.65,993113.39,1551403.36,2190059,3172685,631740397,695885393,Blue Cross and Blue Shield of Alabama,AL,96845673.52,13434646.95,1891994.1,2535110,2748598,803165836,1033752425
8,44902,Federated Mutual Insurance Company,AL,,,-7318.77,,662,,,Federated Mutual Insurance Company,AL,,,-18268.78,,600,,
9,93122,Freedom Life Insurance,AL,107806.57,26222.47,,334,,65447,249168,Freedom Life Insurance,AL,0,57450.42,,248,,53139,120337
10,44580,Humana Insurance Company,AL,3343273.21,-983926.61,,71319,21,18905173.34,20499199.8,Humana Insurance Company,AL,4108536.1,-3473430.83,,80011,,26352276.29,29268855.53
11,49771,John Alden Life Insurance Company,AL,,,9879.88,352,508,143720,28213,John Alden Life Insurance Company,AL,,,47439.27,229,361,107151,812
12,13939,Time Insurance Company,AL,661562.99,-35409.21,11262.04,11799,1236,3245622,4465455,Time Insurance Company,AL,452110.79,-223260.2,-18832.66,8015,352,2778694,2867433
13,69461,UnitedHealthcare Insurance Company,AL,,,206168.06,784,48846,345343.28,213507.56,United Healthcare Insurance Company,AL,,,-724205.96,700,43907,283446.31,172189.06
14,59809,UnitedHealthcare Life Insurance Company,AL,,,4588.49,51,16,50860.34,90867.33,United Healthcare Life Insurance Company,AL,148062.53,-805865.4,2012.29,7077,26,2060581.79,1537350.79
15,68259,"UnitedHealthcare of Alabama, Inc.",AL,,,-59273.72,24,9583,9505.08,364.77,"United Healthcare of Alabama, Inc.",AL,7835054.79,-8989541.02,-397175.98,233318,8661,76838688.38,87467271.39
16,93018,VIVA Health,AL,,,-1714074.57,,25433,,,VIVA Health,AL,,,-782962.27,,32297,,
17,62141,Celtic Insurance Company,AR,6888210.15,-8621410.48,,343956,,140041687.7,125826699.3,Celtic Insurance Company,AR,8196167.49,-10893205.76,,511698,,178753728.3,191626223.4
18,60079,Coventry Health and Life,AR,0,-4414.54,-44702.7,,,,,Coventry Health and Life,AR,0,-15072.7,-41289.01,,,,
19,89365,Federated Mutual Insurance Company,AR,,,-55065.97,,7087,,,Federated Mutual Insurance Company,AR,,,65077.18,,11220,,
20,61273,Freedom Life Insurance,AR,0,-3621.42,,870,,212338,138336,Freedom Life Insurance,AR,0,-5029.01,,740,,191137,67604
21,13262,"HMO Partners, Inc.",AR,,,210345,,233627,,,"HMO Partners, Inc.",AR,,,681450.22,,228567,,
22,99685,Humana Insurance Company,AR,4723.94,68170.5,27385.89,13384,2722,2178290.92,1614966.321,Humana Insurance Company,AR,149183.57,-484230.53,91590.58,8077,1810,1784005.94,1254218.05
23,51826,John Alden Life Insurance Company,AR,,,-15335.35,742,1051,283794,89560,John Alden Life Insurance Company,AR,,,-7856.65,539,769,223170,55766
24,70525,"QCA Health Plan, Inc.",AR,4262438.76,-5943287.09,-55681.1,157507,188500,43191534.2,46343131.76,"QCA Health Plan, Inc.",AR,10580046,6656762.38,-272007.5,324884,172403,115427342.7,148306395.3
25,37903,"QualChoice Life & Health Insurance Company, Inc.",AR,,,-83211.31,,,,,"QualChoice Life & Health Insurance Company, Inc.",AR,4995655,-2751129.36,-17495.48,,,,
26,30991,Time Insurance Company,AR,2304205.03,-2043.49,-50048.48,25130,2438,7106472,10477266,Time Insurance Company,AR,853438.8,-668914.23,-271493.27,15038,1253,5306873,7590690
27,22732,UnitedHealthcare Ins Co of River Valley,AR,,,-590630.26,188,88397,72465.86,51003.59,United Healthcare Ins Co of River Valley,AR,,,-737381.21,356,99994,128379.22,38490.31
28,81392,UnitedHealthcare Insurance Company,AR,,,387592.55,1964,219225,867370.93,548758.92,United Healthcare Insurance Company,AR,,,9059.95,1564,194778,654047.07,501682
29,53135,UnitedHealthcare Life Insurance Company,AR,256733.54,71131.67,,2567,,870399.72,1047720.59,United Healthcare Life Insurance Company,AR,506664.43,-280355.58,,7917,,2593474.69,3610832.45
30,65817,"UnitedHealthcare of Arkansas, Inc.",AR,,,-112065.94,,4501,,,"United Healthcare of Arkansas, Inc.",AR,,,-578563.2,18,12604,7065,3756.56
31,75293,USAble Mutual Insurance Company,AR,64727145.97,14435474.74,381417.67,2575654,788859,726204889.8,808308852.6,Arkansas Blue Cross and Blue Shield,AR,64811130.09,8441174.73,1078908.44,3088102,801647,942571978.7,1148724126
