,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2014,STATE_2014,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2014,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2014",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2014,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2015,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2015",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2015,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET),7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15
0,11082,Aetna Life Insurance Company,AK,120363.61,-52362.57,22831.39,10131.0,33718.0,3278758.81,2492398.44,Aetna Life Insurance Company,AK,0.0,-34550.55,557129.08,2906.0,21271.0,958431.34,462786.99,Aetna Life Insurance Company,AK,,,-1188058.34,242.0,28604.0,166157.31,24287.02
1,62637,John Alden Life Insurance Company,AK,,,78962.62,1557.0,24712.0,564086.0,210481.0,John Alden Life Insurance Company,AK,,,607207.25,1050.0,13952.0,448136.0,916563.0,,,,,,,,,
2,73836,"Moda Health Plan, Inc.",AK,13102419.34,-4806964.11,24371.0,78624.0,17725.0,33550284.0,46525522.0,"Moda Health Plan, Inc.",AK,26305543.39,-9415111.19,-683234.43,159592.0,26851.0,93990086.0,146808709.0,Moda Health Plan Inc,AK,8987021.64,-11418310.77,-2026261.96,139893.0,39766.0,115629307.0,109150932.7
3,38344,Premera Blue Cross Blue Shield of Alaska,AK,19984669.96,5782175.12,-119931.53,146645.0,222340.0,66855354.0,90720294.0,Premera Blue Cross Blue Shield of Alaska,AK,14655165.1,12358455.76,1742413.11,143355.0,229779.0,78693115.0,105293849.0,Premera Blue Cross,AK,5758679.1,11418310.79,4017476.01,116214.0,124234.0,86269350.0,83903892.0
4,38596,Time Insurance Company,AK,1558728.91,-922848.49,-317715.76,21876.0,25471.0,6660334.0,6996763.0,Time Insurance Company,AK,1167367.38,-2908793.99,-1465993.25,18660.0,18371.0,8912183.0,8302282.0,,,,,,,,,
5,80049,UnitedHealthcare Insurance Company,AK,,,311482.27,48.0,19426.0,34628.88,1236.58,United Healthcare Insurance Company,AK,,,-757521.8,63.0,15344.0,46308.04,46241.06,UnitedHealthcare Insurance Company,AK,,,-803155.69,98.0,14475.0,90867.45,120023.12
6,42159,All Savers Insurance Company,AL,,,-2634.74,,1199.0,,,,,,,,,,,,,,,,,,,,
7,46944,Blue Cross and Blue Shield of Alabama,AL,97314734.65,993113.39,1551403.36,2190059.0,3172685.0,631740397.0,695885393.0,Blue Cross and Blue Shield of Alabama,AL,96845673.52,13434646.95,1891994.1,2535110.0,2748598.0,803165836.0,1033752425.0,Blue Cross and Blue Shield of Alabama,AL,48065429.7,24939398.79,2294842.22,2156818.0,2537700.0,846364917.0,973600832.0
8,44902,Federated Mutual Insurance Company,AL,,,-7318.77,,662.0,,,Federated Mutual Insurance Company,AL,,,-18268.78,,600.0,,,Federated Mutual Insurance Company,AL,,,-32889.86,,616.0,,
9,93122,Freedom Life Insurance,AL,107806.57,26222.47,,334.0,,65447.0,249168.0,Freedom Life Insurance,AL,0.0,57450.42,,248.0,,53139.0,120337.0,Freedom Life Insurance Company of America,AL,0.0,-3506.92,,136.0,,39627.0,73144.0
10,44580,Humana Insurance Company,AL,3343273.21,-983926.61,,71319.0,21.0,18905173.34,20499199.8,Humana Insurance Company,AL,4108536.1,-3473430.83,,80011.0,,26352276.29,29268855.53,Humana Insurance Company,AL,2298478.1,-13518890.18,,174907.0,,63005698.43,59951019.03
11,49771,John Alden Life Insurance Company,AL,,,9879.88,352.0,508.0,143720.0,28213.0,John Alden Life Insurance Company,AL,,,47439.27,229.0,361.0,107151.0,812.0,,,,,,,,,
12,13939,Time Insurance Company,AL,661562.99,-35409.21,11262.04,11799.0,1236.0,3245622.0,4465455.0,Time Insurance Company,AL,452110.79,-223260.2,-18832.66,8015.0,352.0,2778694.0,2867433.0,,,,,,,,,
13,69461,UnitedHealthcare Insurance Company,AL,,,206168.06,784.0,48846.0,345343.28,213507.56,United Healthcare Insurance Company,AL,,,-724205.96,700.0,43907.0,283446.31,172189.06,UnitedHealthcare Insurance Company,AL,,,-51436.04,577.0,38560.0,218499.87,182329.89
14,59809,UnitedHealthcare Life Insurance Company,AL,,,4588.49,51.0,16.0,50860.34,90867.33,United Healthcare Life Insurance Company,AL,148062.53,-805865.4,2012.29,7077.0,26.0,2060581.79,1537350.79,UnitedHealthcare Life Insurance Company,AL,111220.27,-959823.85,,7809.0,,2738518.56,2428831.42
15,68259,"UnitedHealthcare of Alabama, Inc.",AL,,,-59273.72,24.0,9583.0,9505.08,364.77,"United Healthcare of Alabama, Inc.",AL,7835054.79,-8989541.02,-397175.98,233318.0,8661.0,76838688.38,87467271.39,"UnitedHealthcare of Alabama, Inc.",AL,8739396.74,-10457177.89,-1064013.58,409511.0,14595.0,150890234.9,165069135.7
16,93018,VIVA Health,AL,,,-1714074.57,,25433.0,,,VIVA Health,AL,,,-782962.27,,32297.0,,,"Viva Health, Inc.",AL,,,-1146502.7,,29224.0,,
17,62141,Celtic Insurance Company,AR,6888210.15,-8621410.48,,343956.0,,140041687.7,125826699.3,Celtic Insurance Company,AR,8196167.49,-10893205.76,,511698.0,,178753728.3,191626223.4,Celtic Insurance Company,AR,4667143.01,-3996497.96,,645597.0,,223290186.6,250007555.2
18,60079,Coventry Health and Life,AR,0.0,-4414.54,-44702.7,,,,,Coventry Health and Life,AR,0.0,-15072.7,-41289.01,,,,,Coventry Health and Life,AR,0.0,-12964.94,-17774.27,,,,
19,89365,Federated Mutual Insurance Company,AR,,,-55065.97,,7087.0,,,Federated Mutual Insurance Company,AR,,,65077.18,,11220.0,,,Federated Mutual Insurance Company,AR,,,-373879.22,,14177.0,,
20,61273,Freedom Life Insurance,AR,0.0,-3621.42,,870.0,,212338.0,138336.0,Freedom Life Insurance,AR,0.0,-5029.01,,740.0,,191137.0,67604.0,Freedom Life Insurance Company of America,AR,0.0,8241.41,,626.0,,158354.0,91395.0
21,13262,"HMO Partners, Inc.",AR,,,210345.0,,233627.0,,,"HMO Partners, Inc.",AR,,,681450.22,,228567.0,,,USAble Mutual Insurance Company,AR,,,-32736.62,,177934.0,,
22,99685,Humana Insurance Company,AR,4723.94,68170.5,27385.89,13384.0,2722.0,2178290.92,1614966.321,Humana Insurance Company,AR,149183.57,-484230.53,91590.58,8077.0,1810.0,1784005.94,1254218.05,Humana Insurance Company,AR,0.0,-106659.16,,6183.0,,1351592.12,1182334.65
23,51826,John Alden Life Insurance Company,AR,,,-15335.35,742.0,1051.0,283794.0,89560.0,John Alden Life Insurance Company,AR,,,-7856.65,539.0,769.0,223170.0,55766.0,,,,,,,,,
24,70525,"QCA Health Plan, Inc.",AR,4262438.76,-5943287.09,-55681.1,157507.0,188500.0,43191534.2,46343131.76,"QCA Health Plan, Inc.",AR,10580046.0,6656762.38,-272007.5,324884.0,172403.0,115427342.7,148306395.3,QCA Health Plan INC,AR,5970119.58,2856187.95,-59363.91,396976.0,112358.0,134121060.4,193390442.4
25,37903,"QualChoice Life & Health Insurance Company, Inc.",AR,,,-83211.31,,,,,"QualChoice Life & Health Insurance Company, Inc.",AR,4995655.0,-2751129.36,-17495.48,,,,,"Qualchoice Life and Health Insurance Company, INC",AR,5901467.15,6169439.47,-135289.79,,,,
26,30991,Time Insurance Company,AR,2304205.03,-2043.49,-50048.48,25130.0,2438.0,7106472.0,10477266.0,Time Insurance Company,AR,853438.8,-668914.23,-271493.27,15038.0,1253.0,5306873.0,7590690.0,,,,,,,,,
27,22732,UnitedHealthcare Ins Co of River Valley,AR,,,-590630.26,188.0,88397.0,72465.86,51003.59,United Healthcare Ins Co of River Valley,AR,,,-737381.21,356.0,99994.0,128379.22,38490.31,UnitedHealthcare Insurance Company of the River Valley,AR,,,56688.96,341.0,135037.0,143906.32,52986.13
28,81392,UnitedHealthcare Insurance Company,AR,,,387592.55,1964.0,219225.0,867370.93,548758.92,United Healthcare Insurance Company,AR,,,9059.95,1564.0,194778.0,654047.07,501682.0,UnitedHealthcare Insurance Company,AR,,,-633751.37,1130.0,162694.0,455169.76,299533.04
29,53135,UnitedHealthcare Life Insurance Company,AR,256733.54,71131.67,,2567.0,,870399.72,1047720.59,United Healthcare Life Insurance Company,AR,506664.43,-280355.58,,7917.0,,2593474.69,3610832.45,UnitedHealthcare Life Insurance Company,AR,314611.24,-189796.85,,6740.0,,2596462.56,3918316.96
30,65817,"UnitedHealthcare of Arkansas, Inc.",AR,,,-112065.94,,4501.0,,,"United Healthcare of Arkansas, Inc.",AR,,,-578563.2,18.0,12604.0,7065.0,3756.56,"UnitedHealthcare of Arkansas, Inc.",AR,878465.85,-3066401.15,-602953.44,77542.0,36280.0,27965799.21,27667235.53
31,75293,USAble Mutual Insurance Company,AR,64727145.97,14435474.74,381417.67,2575654.0,788859.0,726204889.8,808308852.6,Arkansas Blue Cross and Blue Shield,AR,64811130.09,8441174.73,1078908.44,3088102.0,801647.0,942571978.7,1148724126.0,USAble Mutual Insurance Company,AR,37164216.31,-1661548.73,1799059.63,3252818.0,555833.0,1119572863.0,1346911505.0
32,78611,Aetna Health Inc. (a PA corp.),AZ,,,324131.01,269.0,13551.0,127815.98,119110.44,Aetna Health Inc. (a PA corp.),AZ,,,296497.65,105.0,8249.0,25975.82,16675.03,Aetna Health Inc. (a PA corp.),AZ,1544043.36,-8516682.29,-7293.51,145994.0,6122.0,35531324.0,27961319.73
33,84251,Aetna Life Insurance Company,AZ,3503089.05,-437141.1,-3375392.32,146265.0,456985.0,37434147.38,32381578.1,Aetna Life Insurance Company,AZ,1614307.95,-3663100.18,-4599781.33,127740.0,421935.0,33153017.92,25205733.12,Aetna Life Insurance Company,AZ,0.0,41466.11,1799959.4,191.0,375212.0,39627.09,4340745.04
34,98971,All Savers Insurance Company,AZ,,,-8390.44,,736.0,,,All Savers Insurance Company,AZ,4527194.3,2979667.72,23085.14,98433.0,314.0,29722210.17,40129573.55,All Savers Insurance Company,AZ,13230750.73,2463235.36,32801.56,718276.0,1711.0,232911774.6,236793828.3
35,53901,"Blue Cross Blue Shield of Arizona, Inc.",AZ,43210443.35,14331092.97,1494667.03,1649769.0,518338.0,425888273.0,447234457.3,"Blue Cross Blue Shield of Arizona, Inc.",AZ,51821293.19,20131634.31,-837227.17,1857597.0,534916.0,542138872.7,597086526.7,Blue Cross Blue Shield of Arizona,AZ,27506938.31,29716531.05,-1968495.77,1672386.0,566367.0,566217459.2,551785277.1
36,86830,Cigna Health and Life Insurance Company,AZ,4060861.27,1978320.29,-24005.57,16576.0,1883.0,5021387.0,11070817.0,Cigna Health and Life Insurance Company,AZ,1431522.46,2978136.23,-35.55,11908.0,1943.0,4425413.0,6759424.0,Cigna Health and Life Insurance Company,AZ,576234.39,1169118.87,28617.42,5370.0,3161.0,2334374.0,4529617.0
37,75849,Freedom Life Insurance,AZ,68741.8,1902.67,,80.0,,26614.0,127192.0,Freedom Life Insurance,AZ,4146.48,168620.34,,172.0,,72532.0,289093.0,Freedom Life Insurance Company of America,AZ,0.0,-175.68,,77.0,,17370.0,17386.0
38,70239,Health Choice Insurance Co.,AZ,678956.76,-243631.04,,4697.0,,1812900.71,3639322.68,Health Choice Insurance Co.,AZ,1542865.7,-5999819.7,,58566.0,,13465931.75,12713287.44,Health Choice Insurance Co,AZ,3438514.98,-9159037.15,,124255.0,,40067897.67,49551786.7
39,51485,Health Net Life Insurance Company,AZ,39878281.54,469.35,335791.07,383387.0,373703.0,114439203.0,190164372.0,Health Net Life Insurance Company,AZ,46215394.37,26294064.75,7584973.03,408507.0,346823.0,131907279.0,288203286.0,Health Net Life Insurance Company,AZ,2433371.07,5075983.13,6396214.81,66448.0,234437.0,16275889.84,33228323.73
40,91450,"Health Net of Arizona, Inc.",AZ,26048764.45,-26088803.1,-2284176.05,567847.0,130857.0,124579161.0,170970269.0,"Health Net of Arizona, Inc.",AZ,12625077.68,1953496.4,-4432593.99,409710.0,94918.0,93736793.0,139654977.4,"Health Net of Arizona, Inc.",AZ,4433397.9,9901556.2,-2809420.3,217218.0,48583.0,60980911.78,88094557.05
41,23307,"Humana Health Plan, Inc.",AZ,4117754.92,-351373.9,-750038.97,32208.0,137933.0,8637428.75,14286146.19,"Humana Health Plan, Inc.",AZ,676362.49,856409.75,-1948641.42,16365.0,143566.0,5082191.0,5778329.0,"Humana Health Plan, Inc.",AZ,2289096.26,6251937.97,-6031056.26,67920.0,149687.0,21632437.19,33170875.72
42,66105,Humana Insurance Company,AZ,1328793.1,1164384.91,27209.69,180110.0,70211.0,31945882.48,27091713.83,Humana Insurance Company,AZ,1778440.1,689053.89,900266.16,54591.0,53171.0,15798846.0,12122248.97,Humana Insurance Company,AZ,2656508.48,-1311469.26,-1065223.04,97980.0,43082.0,28240828.17,30256833.69
43,73893,John Alden Life Insurance Company,AZ,,,700477.89,4129.0,19748.0,1333099.0,290994.0,John Alden Life Insurance Company,AZ,,,543121.99,2690.0,12255.0,862943.0,295044.0,,,,,,,,,
44,23029,Madison National Life,AZ,,,-4301.51,14965.0,1784.0,2097652.0,1019927.0,Madison National Life,AZ,,,-9938.88,,84.0,,,,,,,,,,,
45,60761,Meritus Health Partners,AZ,1958734.84,2073821.34,-29408.53,26839.0,355.0,6768244.0,14641929.0,Meritus Health Partners,AZ,7175051.81,-48452998.55,-788993.84,525565.0,6774.0,110954506.0,113931264.0,,,,,,,,,
46,92045,Meritus Mutual Health Partners,AZ,1966321.43,800921.39,-12159.89,3529.0,1257.0,1338745.0,5769734.255,Meritus Mutual Health Partners,AZ,3284983.52,-558586.58,-1913246.31,37735.0,14475.0,11365541.0,25838238.0,,,,,,,,,
47,59096,Standard Security Life,AZ,,,-615.14,2131.0,955.0,346061.0,307990.0,Standard Security Life,AZ,,,-5153.41,,99.0,,,,,,,,,,,
48,80863,Time Insurance Company,AZ,13874351.63,5883719.72,784218.43,147996.0,44258.0,34843805.0,56760689.0,Time Insurance Company,AZ,12354851.1,11878587.57,355617.92,137808.0,32712.0,40988927.0,76820522.0,,,,,,,,,
49,82011,UnitedHealthcare Insurance Company,AZ,,,2961325.69,10904.0,486523.0,5036335.1,4047839.0,United Healthcare Insurance Company,AZ,,,4970157.33,7959.0,455517.0,3526468.74,2392772.56,UnitedHealthcare Insurance Company,AZ,,,5204264.49,8232.0,610625.0,3630950.63,3739603.56
50,90169,UnitedHealthcare Life Insurance Company,AZ,1610.82,28226.14,,5753.0,,2810864.09,1870467.82,United Healthcare Life Insurance Company,AZ,737940.9,784206.91,,17049.0,,6337200.43,7551443.03,UnitedHealthcare Life Insurance Company,AZ,822635.08,-819920.79,,55822.0,,19215156.59,18384841.95
51,40702,"UnitedHealthcare of Arizona, Inc.",AZ,,,-139332.36,208.0,6627.0,145502.6,186764.29,"United Healthcare of Arizona, Inc.",AZ,,,-34081.48,171.0,7592.0,112639.71,159460.77,"UnitedHealthcare of Arizona, Inc.",AZ,,,-1413358.56,183.0,21361.0,109675.26,30986.21
