,HIOS ID,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15,IndPremiumPMM,IndCostsPMM,IndRTPMM,IndPremiumMinusCostsPMM
133,59096.0,346061.0,307990.0,,2131.0,162.3937118723604,144.52839042702956,,17.865321445330835
149,33577.0,437776.18,973399.31,-107392.55,4211.0,103.96014723343623,231.15633103775826,-25.50286155307528,-127.19618380432203
151,80431.0,458787.0,378926.0,-599.88,2469.0,185.81895504252734,153.47347104090724,-0.2429647630619684,32.34548400162009
153,75841.0,475088.0,448717.7208,57417.02,2004.0,237.06986027944112,223.9110383233533,28.65120758483034,13.15882195608782
160,18167.0,544533.0,907059.0,311802.19,2085.0,261.16690647482017,435.0402877697842,149.54541486810552,-173.87338129496402
164,87698.0,590467.0,432452.0,,2310.0,255.6134199134199,187.208658008658,,68.4047619047619
167,36677.0,660327.37,1553516.26,272660.9,2215.0,298.1161941309255,701.3617426636569,123.09747178329572,-403.24554853273133
170,40778.0,743697.0,409453.0,,2749.0,270.53364859949073,148.94616224081483,,121.5874863586759
172,53357.0,747484.53,606396.93,,2112.0,353.9225994318182,287.1197585227273,,66.80284090909089
174,41895.0,765761.0,1646935.31,122480.23,2011.0,380.78617603182494,818.9633565390353,60.90513674788662,-438.1771805072104
175,83808.0,766827.0,1076537.61,-132911.3,4736.0,161.9144847972973,227.30946157094596,-28.064041385135134,-65.39497677364866
176,44113.0,778157.0,91269.054,,13522.0,57.54747818370063,6.74967120248484,,50.79780698121579
177,99806.0,793029.0,584483.0,,3510.0,225.93418803418803,166.51937321937322,,59.414814814814804
182,67580.0,864182.0,518108.0,,2843.0,303.9683432993317,182.23988744284208,,121.72845585648963
183,31112.0,866823.51,936203.27,,2383.0,363.75304657994127,392.86750734368445,,-29.114460763743182
185,53135.0,870399.72,1047720.59,71131.67,2567.0,339.0727386053759,408.1498208024932,27.71003895597974,-69.0770821971173
186,64146.0,881543.74,611793.83,,2187.0,403.08355738454503,279.74112025605854,,123.3424371284865
188,67088.0,904964.0,446500.0,,2907.0,311.30512555899554,153.59477124183007,,157.71035431716547
190,89728.0,922158.0,608761.0,,3503.0,263.24807308021695,173.78275763631174,,89.46531544390521
192,82506.0,968052.0,1273399.0,59844.74,4321.0,224.03425133071048,294.70006942837307,13.84974311501967,-70.6658180976626
