,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2014,STATE_2014,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2014,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2014",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2014,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,IndPremiumPMM_2014,IndCostsPMM_2014,IndRTPMM_2014,IndPremiumMinusCostsPMM_2014,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2015,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2015",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2015,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,IndPremiumPMM_2015,IndCostsPMM_2015,IndRTPMM_2015,IndPremiumMinusCostsPMM_2015
133,59096.0,Standard Security Life,AZ,,,-615.14,2131.0,955.0,346061.0,307990.0,162.3937118723604,144.52839042702956,,17.865321445330835,Standard Security Life,AZ,,,-5153.41,,99.0,,,,,,
149,33577.0,"Coventry Health Care of West Virginia, Inc.",WV,28106.85,-107392.55,140229.75,4211.0,49971.0,437776.18,973399.31,103.96014723343623,231.15633103775826,-25.50286155307528,-127.19618380432203,"Coventry Health Care of West Virginia, Inc.",WV,0.0,-435.24,-69535.77,4.0,21590.0,1661.83,9672.78,415.4575,2418.195,-108.81,-2002.7375000000002
151,80431.0,Freedom Life Insurance,SC,0.0,-599.88,,2469.0,,458787.0,378926.0,185.81895504252734,153.47347104090724,-0.2429647630619684,32.34548400162009,Freedom Life Insurance,SC,7907.84,-7622.19,,2028.0,,421461.0,432622.0,207.82100591715977,213.32445759368835,-3.7584763313609466,-5.503451676528584
153,75841.0,Celtic Insurance Company,NH,100260.25,57417.02,,2004.0,,475088.0,448717.7208,237.06986027944112,223.9110383233533,28.65120758483034,13.15882195608782,Celtic Insurance Company,NH,112703.95,110166.0,,18.0,,73380.16,193944.8322,4076.6755555555555,10774.7129,6120.333333333333,-6698.037344444445
160,18167.0,Molina Healthcare of Utah,UT,96992.14,311802.19,,2085.0,,544533.0,907059.0,261.16690647482017,435.0402877697842,149.54541486810552,-173.87338129496402,Molina Healthcare of Utah,UT,1295181.45,-2854734.71,,72932.0,,16190660.0,18398259.0,221.99665441781386,252.2659326495914,-39.142416360445345,-30.269278231777548
164,87698.0,CommunityCare Life & Health Insurance Co,OK,,,-437673.74,2310.0,66286.0,590467.0,432452.0,255.6134199134199,187.208658008658,,68.4047619047619,Community Care Life & Health Insurance Co,OK,0.0,1200.32,-1132219.85,1733.0,55597.0,466916.0,352432.0,269.4264281592614,203.36526255049048,0.6926255049047894,66.06116560877089
167,36677.0,All Savers Insurance Company,MD,266389.22,272660.9,,2215.0,,660327.37,1553516.26,298.1161941309255,701.3617426636569,123.09747178329572,-403.24554853273133,All Savers Insurance Company,MD,496194.53,596980.74,,6662.0,,2650550.76,3724009.19,397.86111678174717,558.99267337136,89.60983788652057,-161.13155658961279
170,40778.0,John Alden Life Insurance Company,TN,,,-102240.68,2749.0,3484.0,743697.0,409453.0,270.53364859949073,148.94616224081483,,121.5874863586759,John Alden Life Insurance Company,TN,,,-46256.21,1608.0,2404.0,459621.0,191155.0,285.8339552238806,118.87748756218906,,166.95646766169153
172,53357.0,Aetna Life Insurance Company,ME,,,-2225221.04,2112.0,133557.0,747484.53,606396.93,353.9225994318182,287.1197585227273,,66.80284090909089,Aetna Life Insurance Company,ME,,,1790597.54,342.0,164744.0,142985.64,32681.71,418.0866666666667,95.56055555555555,,322.52611111111116
174,41895.0,Consumers Mutual Insurance of Michigan,MI,252541.02,122480.23,-1252756.84,2011.0,19992.0,765761.0,1646935.31,380.78617603182494,818.9633565390353,60.90513674788662,-438.1771805072104,Consumers Mutual Insurance of Michigan,MI,2288287.67,-7071364.84,-1699990.62,66465.0,77527.0,26023019.0,33438912.0,391.52966222824045,503.1055743624464,-106.39230933574062,-111.57591213420596
