,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2014,STATE_2014,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2014,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2014",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2014,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,IndPremiumPMM_2014,IndCostsPMM_2014,IndRTPMM_2014,IndPremiumMinusCostsPMM_2014,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2015,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2015",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2015,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,IndPremiumPMM_2015,IndCostsPMM_2015,IndRTPMM_2015,IndPremiumMinusCostsPMM_2015,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET),7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15,IndPremiumPMM,IndCostsPMM,IndRTPMM,IndPremiumMinusCostsPMM
1,18167,Molina Healthcare of Utah,UT,96992.14,311802.19,,2085,,544533,907059,261.1669065,435.0402878,149.5454149,-173.8733813,Molina Healthcare of Utah,UT,1295181.45,-2854734.71,,72932,,16190660,18398259,221.9966544,252.2659326,-39.14241636,-30.26927823,"Molina Healthcare of Utah, Inc.",UT,4248954.73,-31798539.87,,622659,,135621047,141993410,217.8095025,228.0436162,-51.06894764,-10.2341137
2,36677,All Savers Insurance Company,MD,266389.22,272660.9,,2215,,660327.37,1553516.26,298.1161941,701.3617427,123.0974718,-403.2455485,All Savers Insurance Company,MD,496194.53,596980.74,,6662,,2650550.76,3724009.19,397.8611168,558.9926734,89.60983789,-161.1315566,All Savers Insurance Company,MD,576817.2,1316533.03,,11155,,4610816.65,6571803.34,413.3408023,589.1352165,118.0217866,-175.7944142
5,31112,UnitedHealthcare of the Mid-Atlantic Inc.,MD,,,-332036,2383,75098,866823.51,936203.27,363.7530466,392.8675073,,-29.11446076,United Healthcare of the MidAtlantic Inc.,MD,504920.11,-1146080.38,-1678830.01,27649,36198,8397232.7,6850854.38,303.7083692,247.7794633,-41.4510608,55.92890593,"UnitedHealthcare of the Mid-Atlantic, Inc.",MD,1196462.13,-4726063.8,-2228250.33,117781,42839,39705280.01,30622053.42,337.1110791,259.9914538,-40.12585901,77.11962532
6,53135,UnitedHealthcare Life Insurance Company,AR,256733.54,71131.67,,2567,,870399.72,1047720.59,339.0727386,408.1498208,27.71003896,-69.0770822,United Healthcare Life Insurance Company,AR,506664.43,-280355.58,,7917,,2593474.69,3610832.45,327.58301,456.085948,-35.4118454,-128.502938,UnitedHealthcare Life Insurance Company,AR,314611.24,-189796.85,,6740,,2596462.56,3918316.96,385.2318338,581.3526647,-28.15977003,-196.1208309
10,82506,Freedom Life Insurance,IL,57607.05,59844.74,,4321,,968052,1273399,224.0342513,294.7000694,13.84974312,-70.6658181,Freedom Life Insurance,IL,38014.98,26867.72,,3229,,740957,602404,229.4694952,186.5605451,8.320755652,42.90895014,Freedom Life Insurance Company of America,IL,0,48327.14,,2435,,610525,558316,250.7289528,229.287885,19.84687474,21.44106776
11,84600,Aetna Life Insurance Company,KS,,,-266018.93,4206,3739,973126.74,433125.62,231.3663195,102.9780361,,128.3882834,Aetna Life Insurance Company,KS,,,745826.49,2813,6579,690716.26,398728.39,245.5443512,141.7448951,,103.7994561,Aetna Life Insurance Company,KS,,,190344.76,2217,28674,578805.78,419864.08,261.0761299,189.3838881,,71.69224177
12,79881,"UnitedHealthcare of New England, Inc.",RI,,,-1100658.25,2469,24434,1004880.32,744221.72,406.9989145,301.4263751,,105.5725395,"United Healthcare of New England, Inc.",RI,205106.29,-1072057.02,-4145329.17,14930,52255,6471172.88,3626616.76,433.4342184,242.9080214,-71.80556062,190.5261969,"UnitedHealthcare of New England, Inc.",RI,254775.09,-421370.22,-3847407.2,18580,41303,7376842.78,5593087.51,397.031366,301.0273149,-22.6786986,96.00405113
14,31234,CeltiCare Health Plan of MA***,MA,0,,,2472,78,1090739.163,264952.4377,441.2375255,107.1814068,,334.0561186,CeltiCare Health Plan of MA,MA,87686.69,,,15810,,6049869.112,2862510.953,382.6609179,181.0569863,,201.6039316,CeltiCare Health Plan of Massachusetts,MA,1877.17,,,15471,74,6035656.62,3246383.453,390.1271165,209.8366914,,180.2904251
21,59765,BridgeSpan Health Company,ID,712878.62,574321.44,,4960,,1425086,2866986,287.3157258,578.021371,115.7906129,-290.7056452,BridgeSpan Health Company,ID,724349.19,-37955.58,,11749,,3156976,5057888,268.7016767,430.4951911,-3.230537067,-161.7935143,BridgeSpan Health Company (ID),ID,1020878.6,-6574515.53,,86364,,26986002,25756225,312.4681812,298.228718,-76.12564877,14.2394632
22,69443,UnitedHealthcare Insurance Company,TN,,,441221.96,3087,257791,1504762.63,1154277.21,487.4514512,373.9155199,,113.5359313,United Healthcare Insurance Company,TN,,,1962995.16,2010,219298,972773.15,574155.03,483.9667413,285.6492687,,198.3174726,UnitedHealthcare Insurance Company,TN,6404602.34,-11876109.92,14454.67,428878,208715,165680680.4,168842762.7,386.3119125,393.6848304,-27.69111477,-7.372917939
