HIOS ID	HIOS INPUTTED INSURANCE COMPANY NAME_2014	STATE_2014	REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2014	"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2014"	HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2014	7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014	7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014	1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014	2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014	IndPremiumPMM_2014	IndCostsPMM_2014	IndRTPMM_2014	TotalP2014	IndPremiumMinusCostsPMM_2014	HIOS INPUTTED INSURANCE COMPANY NAME_2015	STATE_2015	REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2015	"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2015"	HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2015	7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015	7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015	1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015	2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015	IndPremiumPMM_2015	IndCostsPMM_2015	IndRTPMM_2015	IndPremiumMinusCostsPMM_2015	HIOS INPUTTED INSURANCE COMPANY NAME	STATE	REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)	"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)"	HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)	7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15	7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15	1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15	2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15	IndPremiumPMM	IndCostsPMM	IndRTPMM	IndPremiumMinusCostsPMM	ExitedMarketIn2016
67202	"Louisiana Health Cooperative, Inc."	LA	9878052.34	-7456986.26	-36621.89	110861	1194	5190257	56988875.59	46.81769964	514.0570227	-67.26428825	-534.5036113	-467.239323	"Louisiana Health Cooperative, Inc."	LA	6806873.05	-8658833.22	-177962.62	287238	2901	74287655.86	119232310.9	258.6275349	415.0993632	-30.14515217	-156.4718284														1
46958	Humana Insurance Company	UT	4158821.94	2574546.01	-1107146.32	418934	89646	45384523.25	46358514.91	108.333349	110.6582777	6.145469239	3.820540587	-2.324928652	Humana Insurance Company	UT	4094943.28	3170521.45	-414144.63	304972	59382	36091117.17	47593149.03	118.3423959	156.0574382	10.39610669	-37.71504223	Humana Insurance Company	UT	602352.46	1967946.16	-513885.76	216590	28720	25777038.09	26458059.81	119.0130573	122.1573471	9.086043492	-3.144289764	0
44648	Regence Blue Shield of Idaho	ID	282450.45	371605.98	1175263.46	359158	308078	42153596	31134872	117.3678325	86.68851035	1.034658785	31.71398098	30.67932219	Regence Blue Shield of Idaho	ID	643839.26	1002953.94	-831183.51	126390	272370	31416377	20804518	248.5669515	164.6057283	7.935389983	83.9612232	Regence Blue Shield of Idaho	ID	764325.42	-319665.28	-1115977.31	125888	284710	33429631	28925018	265.5505767	229.767873	-2.539283172	35.78270367	0
22013	Regence BlueCross BlueShield of Utah	UT	4866764.79	524047.97	1299608.61	405320	512345	53408218	51268997	131.7680302	126.4901732	1.292924035	6.570781037	5.277857002	Regence BlueCross BlueShield of Utah	UT	4740413.21	1629776.02	-1352263.41	234400	429542	54021852	56735020	230.4686519	242.0436007	6.952969369	-11.57494881	Regence BlueCross BlueShield of Utah	UT	2005943.85	2957250.22	5097980.75	180687	439813	49085799	46371400	271.6620399	256.6393819	16.36670164	15.02265797	0
83808	Coventry Health and Life	MS	0	-132911.3	16718.65	4736	2186	766827	1076537.61	161.9144848	227.3094616	-28.06404139	-93.45901816	-65.39497677	Coventry Health and Life	MS	62611.94	-199659.48	-154417.17	2953	154	647952.86	526416.9	219.4218964	178.2651202	-67.61242127	41.15677616	Coventry Health and Life	MS			-47174.8		55							1
99685	Humana Insurance Company	AR	4723.94	68170.5	27385.89	13384	2722	2178290.92	1614966.321	162.7533562	120.6639511	5.093432457	47.18283765	42.08940519	Humana Insurance Company	AR	149183.57	-484230.53	91590.58	8077	1810	1784005.94	1254218.05	220.8748223	155.2826606	-59.95178036	65.59216169	Humana Insurance Company	AR	0	-106659.16		6183		1351592.12	1182334.65	218.5981109	191.2234595	-17.25038978	27.37465146	0
81413	Network Health Plan	WI	0	17211.06	-5824.29	18001	171588	3010754	1918512.432	167.2548192	106.578103	0.956116882	61.63283306	60.67671618	Network Health Plan	WI	24525.62	294393.41	-54663.83	14440	129581	2243847	1580270	155.3910665	109.4369806	20.38735526	45.95408587	Network Health Plan	WI	1548847.3	1897726.68	-3546.19	55987	108312	22776443	25842938.9	406.816636	461.5882062	33.89584511	-54.77157019	0
44526	Time Insurance Company	UT	169562.38	105136.13		17950		3083177	3013031	171.7647354	167.8568802	5.857166017	9.76502117	3.907855153	Time Insurance Company	UT	157807.06	214883.2		11169		2375538	2326739	212.6903035	208.3211568	19.2392515	4.369146745														1
19968	Humana Insurance Company	KS	385045.35	97760.97	-291686.41	65146	183283	11305627.63	9476517.522	173.5429287	145.4658386	1.500644245	29.57773429	28.07709004	Humana Insurance Company	KS	639450.47	129998.03	453059.45	52893	210867	10922316.9	11120538.07	206.4983438	210.2459318	2.457754901	-3.747587961	Humana Insurance Company	KS	0	1652.45	2126319.62	24433	214049	4799724.78	2746896.52	196.444349	112.4256751	0.067631891	84.01867392	0
25896	Wellmark Health Plan of Iowa	IA	782563.16	-2547979.51	501033.39	81794	227104	14314445	11937232	175.0060518	145.9426364	-31.15117869	-2.08776328	29.06341541	Wellmark Health Plan of Iowa	IA	1964191.81	-4391485.66	-1170299.82	121898	253629	25305558	32017398	207.5961706	262.6572872	-36.02590412	-55.06111667	"Wellmark Health Plan of Iowa, Inc"	IA	809644.81	-5781185.31	-3821568.7	118692	292119	35006962	27118538	294.9395241	228.4782294	-48.70745552	66.46129478	0
