,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2014,STATE_2014,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2014,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2014",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2014,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,IndPremiumPMM_2014,IndCostsPMM_2014,IndRTPMM_2014,IndPremiumMinusCostsPMM_2014,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2015,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2015",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2015,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,IndPremiumPMM_2015,IndCostsPMM_2015,IndRTPMM_2015,IndPremiumMinusCostsPMM_2015,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET),7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15,IndPremiumPMM,IndCostsPMM,IndRTPMM,IndPremiumMinusCostsPMM
0,80431.0,Freedom Life Insurance,SC,0.0,-599.88,,2469.0,,458787.0,378926.0,185.81895504252734,153.47347104090724,-0.2429647630619684,32.34548400162009,Freedom Life Insurance,SC,7907.84,-7622.19,,2028.0,,421461.0,432622.0,207.82100591715977,213.32445759368835,-3.7584763313609466,-5.503451676528584,Freedom Life Insurance Company of America,SC,0.0,-520.68,,1735.0,,366124.0,106303.0,211.02247838616714,61.269740634005764,-0.3001037463976945,149.75273775216138
1,18167.0,Molina Healthcare of Utah,UT,96992.14,311802.19,,2085.0,,544533.0,907059.0,261.16690647482017,435.0402877697842,149.54541486810552,-173.87338129496402,Molina Healthcare of Utah,UT,1295181.45,-2854734.71,,72932.0,,16190660.0,18398259.0,221.99665441781386,252.2659326495914,-39.142416360445345,-30.269278231777548,"Molina Healthcare of Utah, Inc.",UT,4248954.73,-31798539.87,,622659.0,,135621047.0,141993410.0,217.80950247246085,228.04361616872157,-51.06894764228896,-10.23411369626072
2,36677.0,All Savers Insurance Company,MD,266389.22,272660.9,,2215.0,,660327.37,1553516.26,298.1161941309255,701.3617426636569,123.09747178329572,-403.24554853273133,All Savers Insurance Company,MD,496194.53,596980.74,,6662.0,,2650550.76,3724009.19,397.86111678174717,558.99267337136,89.60983788652057,-161.13155658961279,All Savers Insurance Company,MD,576817.2,1316533.03,,11155.0,,4610816.65,6571803.34,413.3408023307934,589.1352164948454,118.0217866427611,-175.794414164052
3,41895.0,Consumers Mutual Insurance of Michigan,MI,252541.02,122480.23,-1252756.84,2011.0,19992.0,765761.0,1646935.31,380.78617603182494,818.9633565390353,60.90513674788662,-438.1771805072104,Consumers Mutual Insurance of Michigan,MI,2288287.67,-7071364.84,-1699990.62,66465.0,77527.0,26023019.0,33438912.0,391.52966222824045,503.1055743624464,-106.39230933574062,-111.57591213420596,,,,,,,,,,,,,
4,83808.0,Coventry Health and Life,MS,0.0,-132911.3,16718.65,4736.0,2186.0,766827.0,1076537.61,161.9144847972973,227.30946157094596,-28.064041385135134,-65.39497677364866,Coventry Health and Life,MS,62611.94,-199659.48,-154417.17,2953.0,154.0,647952.86,526416.9,219.4218963765662,178.26512021672875,-67.61242126650863,41.15677615983745,Coventry Health and Life,MS,,,-47174.8,,55.0,,,,,,
5,31112.0,UnitedHealthcare of the Mid-Atlantic Inc.,MD,,,-332036.0,2383.0,75098.0,866823.51,936203.27,363.75304657994127,392.86750734368445,,-29.114460763743182,United Healthcare of the MidAtlantic Inc.,MD,504920.11,-1146080.38,-1678830.01,27649.0,36198.0,8397232.7,6850854.38,303.70836919960936,247.77946327172774,-41.45106079785887,55.92890592788163,"UnitedHealthcare of the Mid-Atlantic, Inc.",MD,1196462.13,-4726063.8,-2228250.33,117781.0,42839.0,39705280.01,30622053.42,337.11107912142023,259.9914537998489,-40.12585900951766,77.11962532157133
6,53135.0,UnitedHealthcare Life Insurance Company,AR,256733.54,71131.67,,2567.0,,870399.72,1047720.59,339.0727386053759,408.1498208024932,27.71003895597974,-69.0770821971173,United Healthcare Life Insurance Company,AR,506664.43,-280355.58,,7917.0,,2593474.69,3610832.45,327.58300997852723,456.0859479600859,-35.41184539598333,-128.50293798155866,UnitedHealthcare Life Insurance Company,AR,314611.24,-189796.85,,6740.0,,2596462.56,3918316.96,385.2318338278932,581.3526646884272,-28.15977002967359,-196.12083086053406
7,64146.0,UnitedHealthcare Ins Co of River Valley,SC,,,448146.55,2187.0,101664.0,881543.74,611793.83,403.08355738454503,279.74112025605854,,123.3424371284865,United Healthcare Ins Co of River Valley,SC,,,16395.03,2200.0,84509.0,994457.07,635770.73,452.0259409090909,288.98669545454544,,163.03924545454544,UnitedHealthcare Insurance Company of the River Valley,SC,,,775157.13,1475.0,71031.0,675973.77,390778.15,458.28730169491524,264.93433898305085,,193.3529627118644
8,67088.0,John Alden Life Insurance Company,OK,,,-198017.77,2907.0,3822.0,904964.0,446500.0,311.30512555899554,153.59477124183007,,157.71035431716547,John Alden Life Insurance Company,OK,,,-178744.41,2057.0,2130.0,631438.0,349806.0,306.9703451628585,170.0563928050559,,136.9139523578026,,,,,,,,,,,,,
9,89728.0,John Alden Life Insurance Company,SC,,,92798.49,3503.0,2255.0,922158.0,608761.0,263.24807308021695,173.78275763631174,,89.46531544390521,John Alden Life Insurance Company,SC,,,35428.72,2384.0,917.0,643822.0,271989.0,270.0595637583893,114.08934563758389,,155.97021812080538,,,,,,,,,,,,,
10,82506.0,Freedom Life Insurance,IL,57607.05,59844.74,,4321.0,,968052.0,1273399.0,224.03425133071048,294.70006942837307,13.84974311501967,-70.6658180976626,Freedom Life Insurance,IL,38014.98,26867.72,,3229.0,,740957.0,602404.0,229.46949519975226,186.5605450603902,8.320755651904614,42.90895013936205,Freedom Life Insurance Company of America,IL,0.0,48327.14,,2435.0,,610525.0,558316.0,250.7289527720739,229.28788501026693,19.846874743326488,21.441067761806977
11,84600.0,Aetna Life Insurance Company,KS,,,-266018.93,4206.0,3739.0,973126.74,433125.62,231.36631954350926,102.97803613884926,,128.38828340466,Aetna Life Insurance Company,KS,,,745826.49,2813.0,6579.0,690716.26,398728.39,245.54435122644864,141.74489512975472,,103.79945609669392,Aetna Life Insurance Company,KS,,,190344.76,2217.0,28674.0,578805.78,419864.08,261.0761299052774,189.38388813712226,,71.69224176815516
12,79881.0,"UnitedHealthcare of New England, Inc.",RI,,,-1100658.25,2469.0,24434.0,1004880.32,744221.72,406.9989145402997,301.42637505062777,,105.57253948967195,"United Healthcare of New England, Inc.",RI,205106.29,-1072057.02,-4145329.17,14930.0,52255.0,6471172.88,3626616.76,433.4342183523108,242.90802143335566,-71.80556061620898,190.52619691895512,"UnitedHealthcare of New England, Inc.",RI,254775.09,-421370.22,-3847407.2,18580.0,41303.0,7376842.78,5593087.51,397.03136598493006,301.02731485468246,-22.678698600645856,96.0040511302476
13,94720.0,John Alden Life Insurance Company,WI,,,-41526.94,3567.0,9807.0,1024179.0,356364.0,287.1261564339781,99.90580319596299,,187.22035323801512,John Alden Life Insurance Company,WI,,,44877.57,2435.0,3302.0,731543.0,1070851.0,300.4283367556468,439.77453798767965,,-139.34620123203285,,,,,,,,,,,,,
14,31234.0,CeltiCare Health Plan of MA***,MA,0.0,,,2472.0,78.0,1090739.163,264952.4377,441.2375254854369,107.18140683656958,,334.0561186488673,CeltiCare Health Plan of MA,MA,87686.69,,,15810.0,,6049869.112000001,2862510.953,382.6609179000633,181.05698627450982,,201.60393162555346,CeltiCare Health Plan of Massachusetts,MA,1877.17,,,15471.0,74.0,6035656.62,3246383.453,390.1271165406244,209.83669142266177,,180.29042511796263
15,80698.0,John Alden Life Insurance Company,NE,,,71939.33,4014.0,2630.0,1111782.0,870915.0,276.9760837070254,216.9693572496263,,60.00672645739908,John Alden Life Insurance Company,NE,,,-21958.59,2420.0,1022.0,715408.0,226936.0,295.62314049586774,93.77520661157025,,201.8479338842975,,,,,,,,,,,,,
16,97646.0,Time Insurance Company,NM,205000.0,219541.22,,3770.0,,1211757.0,1391775.0,321.4209549071618,369.1710875331565,58.23374535809019,-47.750132625994695,Time Insurance Company,NM,0.0,6670.67,,2858.0,,933798.0,838772.0,326.73128061581525,293.482155353394,2.334034289713086,33.24912526242127,,,,,,,,,,,,,
17,41240.0,John Alden Life Insurance Company,FL,,,-890.28,3453.0,439.0,1287342.0,1027365.0,372.81841876629016,297.52823631624676,,75.2901824500434,John Alden Life Insurance Company,FL,,,6445.09,2136.0,247.0,835630.0,581247.0,391.2125468164794,272.1193820224719,,119.09316479400752,,,,,,,,,,,,,
18,86382.0,Sunshine State Health Plan,FL,0.0,-198355.63,,3460.0,,1302976.93,532646.8603,376.58292774566473,153.94417927745664,-57.328216763005784,222.6387484682081,Sunshine State Health Plan,FL,1184424.15,-26584661.51,,187352.0,,64261869.35,27042932.65,343.00071176181734,144.34290880268156,-141.8968653123532,198.65780295913578,,,,,,,,,,,,,
19,73893.0,John Alden Life Insurance Company,AZ,,,700477.89,4129.0,19748.0,1333099.0,290994.0,322.86243642528456,70.47565996609349,,252.38677645919108,John Alden Life Insurance Company,AZ,,,543121.99,2690.0,12255.0,862943.0,295044.0,320.7966542750929,109.6817843866171,,211.11486988847582,,,,,,,,,,,,,
20,92045.0,Meritus Mutual Health Partners,AZ,1966321.43,800921.39,-12159.89,3529.0,1257.0,1338745.0,5769734.255,379.35534145650325,1634.948782941343,226.95420515726835,-1255.5934414848398,Meritus Mutual Health Partners,AZ,3284983.52,-558586.58,-1913246.31,37735.0,14475.0,11365541.0,25838238.0,301.1936133563005,684.7287133960514,-14.80287743474228,-383.5351000397509,,,,,,,,,,,,,
21,59765.0,BridgeSpan Health Company,ID,712878.62,574321.44,,4960.0,,1425086.0,2866986.0,287.3157258064516,578.021370967742,115.79061290322579,-290.70564516129036,BridgeSpan Health Company,ID,724349.19,-37955.58,,11749.0,,3156976.0,5057888.0,268.7016767384458,430.4951910800919,-3.230537066984424,-161.79351434164607,BridgeSpan Health Company (ID),ID,1020878.6,-6574515.53,,86364.0,,26986002.0,25756225.0,312.46818118660553,298.22871798434534,-76.1256487656894,14.239463202260197
22,69443.0,UnitedHealthcare Insurance Company,TN,,,441221.96,3087.0,257791.0,1504762.63,1154277.21,487.4514512471655,373.9155199222546,,113.5359313249109,United Healthcare Insurance Company,TN,,,1962995.16,2010.0,219298.0,972773.15,574155.03,483.9667412935323,285.64926865671646,,198.31747263681586,UnitedHealthcare Insurance Company,TN,6404602.34,-11876109.92,14454.67,428878.0,208715.0,165680680.4,168842762.7,386.311912478607,393.6848304179743,-27.691114769235075,-7.372917939367312
23,25978.0,UnitedHealthcare Insurance Company,VA,,,-1683466.68,2971.0,384873.0,1515240.68,1064726.15,510.01032648939747,358.3729888926287,,151.63733759676876,United Healthcare Insurance Company,VA,,,-7578909.62,2701.0,336520.0,1400243.25,996189.3,518.4166049611255,368.82239911144023,,149.59420584968524,UnitedHealthcare Insurance Company,VA,,,-11826669.96,3848.0,392052.0,1987823.29,1007559.33,516.5860940748441,261.8397427234927,,254.74635135135145
24,59977.0,John Alden Life Insurance Company,NC,0.0,-115565.12,-40668.98,5325.0,4125.0,1528569.0,870690.0,287.0552112676056,163.5098591549296,-21.702369953051644,123.54535211267603,John Alden Life Insurance Company,NC,0.0,-138633.22,-11962.08,3338.0,1894.0,1007779.0,550467.0,301.91102456560816,164.90922708208507,-41.53182144997004,137.0017974835231,,,,,,,,,,,,,
25,97889.0,Time Insurance Company,DE,512544.5,53220.61,-4709.65,6861.0,2760.0,1533482.0,1673209.0,223.5070689403877,243.87246757032503,7.7569756595248505,-20.365398629937317,Time Insurance Company,DE,101901.86,40682.47,-10832.08,2948.0,43.0,986662.0,772875.0,334.6886024423338,262.1692672998643,13.800023744911805,72.51933514246946,,,,,,,,,,,,,
